"n","Missing_rate","Criterion","FA","tFA","rSNFA","rSTFA","CFUSTFA"
"300","0.1","AIC.mean",4278.5,4059.93,4206.5,4005.23,3984.71
"","","AIC.sd",390.86,389.02,401.75,399.76,409.63
"","","AIC.freq",0,0,0,7,93
"","","BIC.mean",4348.87,4134,4284.28,4086.71,4066.2
"","","BIC.sd",390.86,389.02,401.75,399.76,409.63
"","","BIC.freq",0,0,0,7,93
"","","MSPE.mean",1.463,1.462,1.442,1.454,1.394
"","","MSPE.sd",0.468,0.459,0.461,0.459,0.436
"","","MSPE.freq",5,9,11,13,62
"","","CT.mean",0.175,0.354,1.677,10.434,1191.94
"","","CT.sd",0.022,0.043,0.148,1.971,229.761
"","","CT.freq",100,0,0,0,0
"300","0.2","AIC.mean",3824.11,3614.69,3761.02,3566.99,3546.08
"","","AIC.sd",347.31,341.5,360.86,353.36,361.8
"","","AIC.freq",0,0,0,8,92
"","","BIC.mean",3894.48,3688.77,3838.8,3648.47,3627.56
"","","BIC.sd",347.31,341.5,360.86,353.36,361.8
"","","BIC.freq",0,0,0,8,92
"","","MSPE.mean",1.504,1.481,1.493,1.487,1.44
"","","MSPE.sd",0.473,0.452,0.478,0.455,0.467
"","","MSPE.freq",8,8,14,7,63
"","","CT.mean",0.189,0.211,1.98,11.831,1207.536
"","","CT.sd",0.026,0.033,0.125,2.086,391.329
"","","CT.freq",90,10,0,0,0
"300","0.3","AIC.mean",3348.91,3194.74,3294.48,3153.03,3138.64
"","","AIC.sd",287.97,289.98,298.04,298.29,303.8
"","","AIC.freq",0,0,0,5,95
"","","BIC.mean",3419.29,3268.82,3372.26,3234.51,3220.12
"","","BIC.sd",287.97,289.98,298.04,298.29,303.8
"","","BIC.freq",0,0,0,5,95
"","","MSPE.mean",1.574,1.552,1.556,1.56,1.514
"","","MSPE.sd",0.435,0.429,0.435,0.433,0.432
"","","MSPE.freq",5,10,13,7,65
"","","CT.mean",0.352,0.376,3.564,21.164,1479.539
"","","CT.sd",0.03,0.028,0.195,3.074,396.055
"","","CT.freq",82,18,0,0,0
