"n","Missing_rate","Criterion","FA","tFA","rSNFA","rSTFA","CFUSTFA"
"600","0.1","AIC.mean",8640.26,8142.41,8491.06,8024.25,7980.51
"","","AIC.sd",750.02,693.69,783.5,743.9,761.27
"","","AIC.freq",0,0,0,3,97
"","","BIC.mean",8723.8,8230.34,8583.4,8120.98,8077.24
"","","BIC.sd",750.02,693.69,783.5,743.9,761.27
"","","BIC.freq",0,0,0,3,97
"","","MSPE.mean",1.516,1.499,1.501,1.5,1.45
"","","MSPE.sd",0.487,0.445,0.474,0.454,0.439
"","","MSPE.freq",7,10,8,6,69
"","","CT.mean",0.237,0.278,2.231,13.236,3032.047
"","","CT.sd",0.048,0.051,0.306,2.775,662.799
"","","CT.freq",85,15,0,0,0
"600","0.2","AIC.mean",7692.61,7253.68,7554.45,7148.36,7117.94
"","","AIC.sd",601.85,604.86,630.32,628.77,642.97
"","","AIC.freq",0,0,0,5,95
"","","BIC.mean",7776.15,7341.62,7646.79,7245.09,7214.68
"","","BIC.sd",601.85,604.86,630.32,628.77,642.97
"","","BIC.freq",0,0,0,5,95
"","","MSPE.mean",1.47,1.462,1.459,1.47,1.423
"","","MSPE.sd",0.387,0.381,0.376,0.392,0.366
"","","MSPE.freq",2,9,13,5,71
"","","CT.mean",0.292,0.344,3.011,17.724,3344.271
"","","CT.sd",0.037,0.034,0.179,2.533,849.169
"","","CT.freq",94,6,0,0,0
"600","0.3","AIC.mean",6686.39,6318.57,6565.5,6226.89,6189.73
"","","AIC.sd",570.29,562.11,591.29,578.36,596.29
"","","AIC.freq",0,0,0,8,92
"","","BIC.mean",6769.93,6406.5,6657.84,6323.62,6286.47
"","","BIC.sd",570.29,562.11,591.29,578.36,596.29
"","","BIC.freq",0,0,0,8,92
"","","MSPE.mean",1.528,1.519,1.518,1.529,1.479
"","","MSPE.sd",0.376,0.361,0.375,0.365,0.361
"","","MSPE.freq",4,4,15,4,73
"","","CT.mean",0.374,0.428,3.744,21.669,3751.244
"","","CT.sd",0.056,0.066,0.509,4.8,1047.893
"","","CT.freq",97,3,0,0,0
