"n","Measure","mu1","mu2","mu3","mu4","mu5","b11","b21","b31","b41","b51","b12","b22","b32","b42","b52","d11","d22","d33","d44","d55","la11","la21","la12","la22","nu"
"150","STD",0.694,0.587,0.866,1.033,0.876,0.281,0.342,0.175,0.192,0.262,0.421,0.503,0.219,0.269,0.389,2.256,2.676,0.905,0.931,1.465,0.93,1.251,1.185,1.573,0.862
"","IMSE",0.324,0.335,0.143,0.183,0.289,0.206,0.219,0.085,0.07,0.138,0.281,0.293,0.101,0.103,0.192,0.848,1.024,0.083,0.09,0.461,0.341,0.304,0.506,0.69,0.169
"300","STD",0.465,0.516,0.732,0.909,0.69,0.229,0.192,0.108,0.108,0.159,0.316,0.263,0.136,0.136,0.239,1.743,1.804,0.715,0.782,1.253,0.828,0.949,0.939,1.184,0.529
"","IMSE",0.226,0.238,0.089,0.132,0.204,0.127,0.137,0.057,0.043,0.083,0.192,0.207,0.067,0.072,0.133,0.576,0.685,0.048,0.063,0.291,0.232,0.238,0.4,0.566,0.088
"600","STD",0.352,0.341,0.414,0.544,0.452,0.126,0.165,0.081,0.079,0.104,0.191,0.232,0.1,0.106,0.15,0.985,1.222,0.529,0.531,0.693,0.598,0.729,0.746,0.899,0.331
"","IMSE",0.159,0.164,0.061,0.095,0.142,0.088,0.092,0.04,0.028,0.057,0.137,0.147,0.043,0.051,0.091,0.409,0.473,0.031,0.042,0.2,0.122,0.114,0.2,0.277,0.057
"900","STD",0.275,0.281,0.351,0.404,0.345,0.106,0.114,0.067,0.06,0.076,0.155,0.154,0.081,0.079,0.113,0.988,0.959,0.452,0.41,0.621,0.423,0.481,0.552,0.617,0.236
"","IMSE",0.126,0.137,0.05,0.076,0.116,0.069,0.077,0.032,0.022,0.046,0.105,0.118,0.035,0.039,0.072,0.313,0.388,0.026,0.034,0.158,0.085,0.078,0.145,0.201,0.044
"1500","STD",0.207,0.19,0.26,0.318,0.251,0.082,0.086,0.052,0.038,0.066,0.122,0.122,0.063,0.051,0.096,0.715,0.717,0.376,0.357,0.499,0.357,0.39,0.472,0.553,0.191
"","IMSE",0.099,0.106,0.038,0.059,0.09,0.054,0.058,0.025,0.016,0.035,0.081,0.09,0.029,0.029,0.054,0.25,0.304,0.02,0.026,0.121,0.071,0.07,0.122,0.169,0.033
