"n","Measure","mu1","mu2","mu3","mu4","mu5","b11","b21","b31","b41","b51","b12","b22","b32","b42","b52","d11","d22","d33","d44","d55","la11","la21","la12","la22","nu"
"150","STD",0.667,0.593,0.837,1.025,0.85,0.279,0.278,0.171,0.223,0.237,0.433,0.388,0.208,0.307,0.363,2.094,2.51,0.882,0.82,1.219,1.042,1.281,1.369,1.666,0.769
"","IMSE",0.361,0.36,0.173,0.247,0.315,0.317,0.334,0.113,0.106,0.226,0.392,0.372,0.154,0.149,0.278,1.074,1.201,0.125,0.152,0.594,0.572,0.558,0.901,1.244,0.273
"300","STD",0.473,0.501,0.718,0.893,0.675,0.193,0.187,0.128,0.101,0.136,0.264,0.271,0.156,0.129,0.205,1.432,1.596,0.66,0.675,1.095,0.894,1.023,1.014,1.253,0.516
"","IMSE",0.242,0.256,0.102,0.162,0.223,0.192,0.207,0.072,0.061,0.131,0.248,0.263,0.107,0.097,0.178,0.671,0.795,0.072,0.096,0.37,0.386,0.365,0.634,0.882,0.142
"600","STD",0.348,0.34,0.413,0.548,0.46,0.126,0.15,0.083,0.078,0.108,0.191,0.216,0.097,0.103,0.155,0.951,1.074,0.563,0.497,0.592,0.622,0.712,0.791,0.839,0.334
"","IMSE",0.162,0.168,0.069,0.112,0.148,0.126,0.134,0.045,0.037,0.085,0.174,0.185,0.066,0.068,0.123,0.451,0.513,0.046,0.066,0.242,0.175,0.137,0.257,0.36,0.091
"900","STD",0.272,0.266,0.335,0.398,0.337,0.107,0.121,0.078,0.061,0.083,0.157,0.169,0.093,0.085,0.127,0.898,0.847,0.413,0.406,0.555,0.482,0.527,0.618,0.702,0.236
"","IMSE",0.131,0.139,0.055,0.09,0.121,0.102,0.112,0.037,0.029,0.069,0.136,0.148,0.053,0.051,0.097,0.351,0.42,0.037,0.051,0.191,0.13,0.105,0.197,0.277,0.07
"1500","STD",0.202,0.186,0.264,0.315,0.245,0.079,0.083,0.054,0.037,0.064,0.117,0.12,0.065,0.05,0.091,0.59,0.651,0.364,0.314,0.435,0.388,0.386,0.498,0.568,0.187
"","IMSE",0.102,0.108,0.041,0.068,0.093,0.079,0.085,0.029,0.021,0.051,0.104,0.114,0.042,0.038,0.072,0.274,0.324,0.028,0.038,0.143,0.102,0.089,0.159,0.223,0.051
