4.567345779,2.206481679,6.464042623,8.592161312,4.386589696,0.082785285,0.165714068,0.929798722,0.983854236,0.525847149,0.962772221,0.72574604,0.322154742,0.659780868,0.791330446,9.157258001,11.48069665,2.82625629,2.429923165,7.524922464,7.00624053,2.136539942,1.949516001,4.91845113,3.500616351
3.526922138,1.3365398,5.485442596,7.354961202,3.328192409,0.03440584,0.157428458,1.079241681,0.968101585,0.55509701,0.943476097,0.73287306,0.183072683,0.691836485,0.645449239,7.292494091,9.991766581,1.912606793,3.241953649,7.9378962,6.503312933,3.790774914,0.791252455,3.63550821,4.182234382
3.657170299,1.807546761,5.734446363,7.699194319,3.621085202,0.146327196,-0.00167272,1.133608168,1.079323911,0.519254059,0.768070651,0.92778494,0.130961746,0.58607148,0.723836262,9.939632962,9.729618771,2.42504258,2.5153986,7.187740035,5.420795276,3.157171291,1.926062468,4.11888584,3.762949815
3.823810093,2.373085083,6.133105666,8.333371595,4.256415166,0.259952192,0.172525186,0.961849073,0.960816616,0.537609755,0.595478387,0.759003133,0.275580422,0.685907668,0.737542081,8.81359849,9.203392009,2.309598769,2.511331261,6.822155097,6.994521263,2.608553123,0.803130656,4.965439035,3.891682305
4.368357462,2.578351925,6.458832435,8.817102993,4.525130761,0.163621315,0.19019152,0.959182869,0.951681878,0.486112006,0.759586314,0.84467266,0.299699414,0.698466977,0.801686048,7.657437229,8.671731874,1.446282043,3.409195584,6.570595566,7.511818361,2.82875444,0.517570029,4.316044667,3.500467459
4.193053726,2.571145178,6.74735014,8.938687449,4.76858913,0.032585743,-0.063626566,0.907865326,0.962771378,0.375933591,0.974817033,1.133688729,0.322080005,0.682560211,0.942589555,8.758728554,11.85997889,2.771530365,2.800931687,7.218549247,6.177770632,2.758778927,2.582864017,4.097447313,3.646739081
4.242791814,2.313221868,6.612804049,8.64216333,4.239062769,0.095483863,0.061824816,0.953799684,0.906961469,0.513062807,0.961442252,1.049654,0.338190696,0.784190779,0.776104562,8.784525772,8.768011554,1.385433826,3.481809785,6.006573094,7.633149098,3.573093887,0.240487295,3.171775931,3.752624383
3.607527522,1.751471422,5.854198667,7.817912141,3.832627683,0.322006022,0.363033391,0.957506438,0.957348441,0.65826186,0.651403108,0.564630926,0.336416398,0.710040063,0.696384558,9.445578548,9.868631667,1.564752028,2.792331065,6.730251559,6.917436663,1.684263958,0.185287816,5.112276287,3.629572866
3.88727714,2.213536943,5.806899849,7.690990345,3.507025898,0.106645632,0.250600933,0.921648959,0.91088586,0.637686978,0.843508238,0.773411073,0.346875949,0.76779126,0.575779927,8.479816449,9.579104054,2.821747276,2.496784261,6.63633547,6.982558004,3.047242647,-0.035599487,3.839876446,3.728819511
4.346382819,2.30050607,6.259078402,8.403343847,4.078590254,0.221688745,0.170708286,0.952291146,0.901401575,0.6105231,0.77106629,0.904692484,0.289467387,0.748729678,0.679210191,9.566723668,9.448378537,1.238146604,3.825175869,7.384680588,7.48134565,1.742250732,1.941929567,5.480436168,4.500679542
3.902731896,2.160000759,6.167662328,8.066283111,4.321679764,0.204068138,0.129868129,0.830528885,0.928607122,0.600499078,0.70176202,0.909275583,0.387295591,0.700003158,0.705092906,9.891788076,9.325975368,2.973723662,2.205883915,7.16900343,7.595215128,2.116351968,0.154823476,3.845833669,3.675709044
4.901961198,2.615156702,7.292307176,9.37292061,4.851357968,0.05715484,0.025825309,0.893974262,0.844784739,0.6070641,1.093411883,1.185644024,0.351960002,0.812820901,0.651622804,9.090939428,9.047479849,2.383373939,2.921992804,7.93558872,7.40697616,2.300994885,1.95420049,3.706323198,3.500843344
4.206543497,2.081029271,6.109401394,7.930464072,4.364962228,0.133331635,-0.008860237,1.017740669,0.892008451,0.461233659,0.87851573,1.00831458,0.174454171,0.706062265,0.891094266,9.574586146,9.403273213,1.301285561,3.320436666,6.493345028,7.853758357,4.007115497,0.351069298,3.336832391,4.438526575
3.583338212,1.408486006,5.362038204,7.12617096,3.137144292,-0.018143648,0.01879391,0.987732289,1.040409851,0.575856604,1.036139186,0.873917806,0.282546866,0.602027217,0.667018886,9.345367621,9.782963721,1.799561106,2.786261296,7.700192708,5.8851434,2.387436116,1.546700734,4.133140021,3.649115635
4.162427086,2.140959416,6.444281303,8.442906174,4.235549261,-0.105744162,0.099786921,1.038281369,0.932598101,0.465550378,1.129230213,0.927361435,0.176202262,0.70680886,0.858619131,7.368822667,9.727539665,1.286012699,2.61580697,6.54397893,6.923603114,3.441667233,1.637552462,3.556470699,4.116504121
3.879092098,1.459252207,5.344272881,7.283341162,3.466591997,-0.279255627,-0.02218948,0.998084173,0.954043977,0.30443966,1.501025293,1.067210659,0.224913541,0.691621156,1.085521215,7.589856141,10.35462878,2.568543822,2.864852914,5.983408343,5.395518494,2.294959945,2.990867122,3.457150262,4.083974605
3.475461734,1.510721591,5.656197926,7.064235512,3.429622036,-0.081855787,-0.195249138,1.066718465,0.849073853,0.10446545,1.138251575,1.360609494,0.19184804,0.797064642,1.39254763,8.42103484,10.32890848,1.426455172,3.448195821,6.919613529,6.067230777,4.365259173,2.57828757,1.317917055,4.500211913
4.009396433,2.071426312,6.239599949,7.972298752,4.115665938,0.066695498,0.159089955,1.028674303,0.88948017,0.615739918,1.017628149,0.859258583,0.273020506,0.812548871,0.772504769,8.226109735,8.488062018,1.419118283,3.769427929,7.69223099,6.571609739,2.574222404,1.275789561,3.527342461,3.96463948
4.111409049,1.857749431,6.048991553,8.056501318,3.886525311,0.077997495,0.155962885,0.989090287,0.9541084,0.596313197,0.944109682,0.788780749,0.251436919,0.686166515,0.718362747,8.2482055,8.416850449,1.743412088,2.771585107,6.109005111,7.258865381,3.333700743,0.817122325,3.61978553,4.081704693
3.48942238,1.695177661,5.344949064,7.267855446,3.314966847,0.129328618,-0.049803943,0.9668264,0.945501196,0.491697891,0.825568659,1.056605377,0.230562221,0.696143377,0.764068826,8.955270083,8.790639082,1.862499346,3.128501664,7.521896148,6.646413867,2.83179233,0.698719655,3.766127539,4.075528163
3.93102303,1.950772315,5.892129227,7.95352081,3.894875163,0.093306077,0.144782534,0.95760937,0.946930038,0.465468075,0.932076763,0.823423673,0.291283302,0.665611833,0.894516857,6.908211988,9.581639436,1.65873316,2.845556534,6.732786877,6.812792818,3.212228919,0.577977521,3.968173311,3.836984745
