"m","log.like","AIC","BIC","MSPE","CT"
22,-5861.633,11767.27,11872.92,1.006417,7.3787
22,-6860.464,13764.93,13870.58,2.296472,7.3621
22,-6270.692,12585.38,12691.04,1.55081,7.47
22,-6504.038,13052.08,13157.73,1.246082,7.8186
22,-5650.336,11344.67,11450.32,1.242718,6.8392
22,-5728.942,11501.88,11607.54,1.293837,7.2376
22,-6366.747,12777.49,12883.15,1.75736,9.3458
22,-5660.276,11364.55,11470.2,0.8951904,8.2751
22,-6506.371,13056.74,13162.39,1.702348,7.3953
22,-6152.683,12349.37,12455.02,1.295493,7.6858
22,-6498.516,13041.03,13146.68,1.741534,7.5198
22,-5977.171,11998.34,12104,1.451735,8.2087
22,-6046.758,12137.52,12243.17,1.689078,8.964
22,-5943.018,11930.04,12035.69,0.9023772,8.9889
22,-6291.256,12626.51,12732.17,1.993768,8.9723
22,-5980.145,12004.29,12109.94,1.736636,7.5779
22,-6588.844,13221.69,13327.34,1.824088,7.7854
22,-5996.776,12037.55,12143.2,1.496452,8.134
22,-5551.385,11146.77,11252.42,1.265498,8.881
22,-6414.552,12873.1,12978.76,1.953203,7.2376
22,-6195.46,12434.92,12540.57,1.659586,7.9597
22,-5909.72,11863.44,11969.09,1.116519,7.968
22,-5970.83,11985.66,12091.31,1.550641,7.1463
22,-5688.046,11420.09,11525.74,1.165779,6.557
22,-4505.62,9055.24,9160.892,0.7649603,7.3289
22,-5639.468,11322.94,11428.59,1.343683,8.2087
22,-6074.294,12192.59,12298.24,1.51204,8.4909
22,-6214.816,12473.63,12579.28,1.459885,8.3996
22,-5480.789,11005.58,11111.23,0.9465571,7.6194
22,-5694.984,11433.97,11539.62,1.617884,7.7439
22,-6523.092,13090.18,13195.84,1.661145,7.5447
22,-6048.694,12141.39,12247.04,1.287924,7.1712
22,-6681.65,13407.3,13512.95,1.933738,6.6566
22,-5628.376,11300.75,11406.41,1.068774,8.3747
22,-5512.164,11068.33,11173.98,1.330204,9.6197
22,-6202.106,12448.21,12553.86,1.186235,9.1964
22,-4960.238,9964.476,10070.13,0.8751741,9.4288
22,-6740.877,13525.75,13631.41,1.845841,6.6815
22,-6073.292,12190.58,12296.24,1.173739,6.7064
22,-6276.704,12597.41,12703.06,1.458395,8.3166
22,-6162.608,12369.22,12474.87,1.852253,6.6898
22,-5953.593,11951.19,12056.84,1.366258,7.6111
22,-5327.967,10699.93,10805.59,1.137419,8.4162
22,-5951.272,11946.54,12052.2,1.148713,8.2751
22,-5790.787,11625.57,11731.23,1.01763,8.5988
22,-6336.737,12717.47,12823.13,1.850394,7.4368
22,-6165.853,12375.71,12481.36,1.361397,8.3664
22,-5996.407,12036.81,12142.47,1.214868,8.9557
22,-6045.36,12134.72,12240.37,1.309523,7.636
22,-5938.083,11920.17,12025.82,1.455669,8.051
22,-6627.898,13299.8,13405.45,1.631259,7.8435
22,-6411.928,12867.86,12973.51,1.209357,6.9554
22,-6744.603,13533.21,13638.86,2.032021,6.9803
22,-6271.84,12587.68,12693.33,1.547195,7.4949
22,-6747.522,13539.04,13644.7,1.692431,7.0882
22,-6150.934,12345.87,12451.52,1.554118,8.134
22,-6629.968,13303.94,13409.59,1.852511,8.9308
22,-5789.725,11623.45,11729.1,1.016788,8.1672
22,-5333.414,10710.83,10816.48,0.9128738,7.6775
22,-6517.254,13078.51,13184.16,2.25713,7.7771
22,-5267.371,10578.74,10684.39,0.9552219,8.1838
22,-5932.506,11909.01,12014.66,1.313935,7.7024
22,-6151.069,12346.14,12451.79,1.299258,8.4328
22,-6180.128,12404.26,12509.91,2.374023,7.5613
22,-6249.254,12542.51,12648.16,1.572479,7.3372
22,-5819.94,11683.88,11789.53,1.352752,9.3624
22,-6393.841,12831.68,12937.34,1.59225,7.1878
22,-6289.23,12622.46,12728.11,1.395138,8.6901
22,-5994.462,12032.92,12138.58,1.115778,8.8063
22,-6088.64,12221.28,12326.93,1.250718,7.304
22,-6510.972,13065.94,13171.6,1.512492,7.2957
22,-5984.627,12013.25,12118.91,1.64682,8.3498
22,-6277.209,12598.42,12704.07,1.273498,7.9597
22,-6504.154,13052.31,13157.96,1.996397,7.3704
22,-6135.505,12315.01,12420.66,1.306289,6.4989
22,-5986.597,12017.19,12122.85,1.231679,8.1506
22,-5914.964,11873.93,11979.58,1.447144,9.6363
22,-6355.548,12755.1,12860.75,1.507007,7.221
22,-5091.473,10226.95,10332.6,0.7894086,9.0387
22,-6481.262,13006.52,13112.18,1.83818,9.9849
22,-5104.557,10253.11,10358.77,1.343507,12.5662
22,-6083.428,12210.86,12316.51,1.32922,14.276
22,-6765.381,13574.76,13680.41,1.58048,10.8398
22,-5997.199,12038.4,12144.05,1.358476,11.8026
22,-5475.702,10995.4,11101.06,0.9703983,12.0101
22,-5872.65,11789.3,11894.95,1.311208,10.4912
22,-6246.924,12537.85,12643.5,1.325423,14.4005
22,-6213.256,12470.51,12576.17,1.629745,14.11
22,-5382.28,10808.56,10914.21,1.15276,11.2631
22,-6201.602,12447.2,12552.86,1.469093,11.0556
22,-6261.081,12566.16,12671.81,1.803986,11.6615
22,-6239.007,12522.01,12627.67,1.215577,10.6074
22,-6425.862,12895.72,13001.38,1.694459,10.6987
22,-5072.424,10188.85,10294.5,1.027427,11.786
22,-6577.781,13199.56,13305.21,2.046055,8.9225
22,-6722.149,13488.3,13593.95,2.574152,11.9437
22,-6554.1,13152.2,13257.85,1.915947,11.039
22,-5803.408,11650.82,11756.47,1.204395,12.3587
22,-6282.484,12608.97,12714.62,1.745797,11.0224
22,-5836.292,11716.58,11822.24,1.158541,11.9686
