"m","log.like","AIC","BIC","MSPE","CT"
20,-3746.462,7532.925,7628.972,0.6985073,0.31
20,-4887.758,9815.515,9911.563,1.40216,0.66
20,-5291.73,10623.46,10719.51,1.914515,0.33
20,-5014.344,10068.69,10164.73,1.933844,0.31
20,-5358.443,10756.89,10852.93,1.90517,0.31
20,-5041.161,10122.32,10218.37,1.682014,0.41
20,-4560.67,9161.341,9257.389,0.9854139,0.33
20,-4699.854,9439.708,9535.756,1.366084,0.31
20,-5047.46,10134.92,10230.97,2.071743,0.31
20,-4704.99,9449.979,9546.027,1.423731,0.26
20,-4848.784,9737.568,9833.616,1.558789,0.31
20,-4710.257,9460.513,9556.561,1.204842,0.32
20,-4759.438,9558.876,9654.924,1.277654,0.3
20,-4710.952,9461.904,9557.952,1.426768,0.31
20,-4911.948,9863.896,9959.944,1.381668,0.32
20,-4198.923,8437.846,8533.894,1.285115,0.31
20,-4506.311,9052.622,9148.67,1.254606,0.29
20,-4938.617,9917.234,10013.28,1.5207,0.32
20,-4200.556,8441.111,8537.159,0.9117793,0.31
20,-4872.154,9784.307,9880.355,1.631453,0.29
20,-4801.491,9642.983,9739.031,1.585258,0.3
20,-4928.652,9897.304,9993.352,1.540393,0.31
20,-5036.229,10112.46,10208.51,1.988315,0.3
20,-4646.35,9332.699,9428.747,1.569365,0.3
20,-5099.649,10239.3,10335.35,1.570881,0.32
20,-4623.369,9286.737,9382.785,1.348709,0.3
20,-4432.865,8905.731,9001.779,0.8872114,0.31
20,-4693.558,9427.116,9523.164,1.475406,0.31
20,-5046.409,10132.82,10228.87,2.07796,0.3
20,-5144.243,10328.49,10424.53,1.758331,0.3
20,-3779.954,7599.908,7695.956,1.012297,0.3
20,-5185.957,10411.91,10507.96,1.777469,0.31
20,-4605.718,9251.436,9347.484,1.563446,0.3
20,-5039.969,10119.94,10215.99,2.034209,0.33
20,-4795.781,9631.563,9727.611,1.486261,0.3
20,-4846.488,9732.976,9829.023,1.519618,0.31
20,-4821.115,9682.229,9778.277,2.019462,0.28
20,-4787.425,9614.851,9710.899,1.394693,0.31
20,-5091.009,10222.02,10318.07,1.641349,0.35
20,-5054.464,10148.93,10244.98,1.568556,0.29
20,-4261.871,8563.742,8659.79,1.342615,0.29
20,-5060.85,10161.7,10257.75,2.175849,0.3
20,-4809.293,9658.586,9754.634,2.700172,0.33
20,-5032.981,10105.96,10202.01,1.473644,0.4
20,-4512.215,9064.43,9160.477,1.136999,0.3
20,-3368.113,6776.227,6872.275,1.114238,0.31
20,-4424.709,8889.417,8985.465,1.131527,0.29
20,-4682.391,9404.782,9500.83,1.806795,0.31
20,-4950.012,9940.024,10036.07,1.777113,0.32
20,-3308.931,6657.862,6753.91,0.6202092,0.32
20,-4047.343,8134.686,8230.734,1.313588,0.3
20,-4588.878,9217.755,9313.803,1.195538,0.32
20,-5213.694,10467.39,10563.44,1.787412,0.32
20,-4800.002,9640.004,9736.051,1.371819,0.3
20,-5237.208,10514.42,10610.46,1.99186,0.3
20,-5443.63,10927.26,11023.31,2.092082,0.3
20,-4731.433,9502.865,9598.913,1.651202,0.3
20,-5012.958,10065.92,10161.96,1.79855,0.26
20,-5182.471,10404.94,10500.99,1.925966,0.3
20,-5376.727,10793.45,10889.5,1.883171,0.31
20,-5005.589,10051.18,10147.23,1.34701,0.33
20,-5198.102,10436.2,10532.25,1.795664,0.3
20,-4488.126,9016.252,9112.3,1.237892,0.31
20,-4760.991,9561.982,9658.029,1.3338,0.41
20,-4572.874,9185.747,9281.795,1.233422,0.3
20,-5372.645,10785.29,10881.34,1.837287,0.31
20,-4622.781,9285.561,9381.609,1.254821,0.31
20,-4648.206,9336.412,9432.459,1.085852,0.31
20,-4653.416,9346.831,9442.879,1.354629,0.33
20,-4928.48,9896.96,9993.008,1.365917,0.3
20,-4811.293,9662.586,9758.634,1.332027,0.3
20,-4716.717,9473.435,9569.483,1.280731,0.33
20,-5047.027,10134.05,10230.1,1.649228,0.31
20,-3688.054,7416.107,7512.155,0.8262693,0.28
20,-3290.299,6620.598,6716.646,1.077914,0.31
20,-4079.477,8198.954,8295.002,0.7461423,0.31
20,-5024.201,10088.4,10184.45,1.775825,0.31
20,-4896.012,9832.025,9928.073,1.723983,0.31
20,-4908.843,9857.685,9953.733,1.715585,0.43
20,-5242.731,10525.46,10621.51,1.906038,0.29
20,-4734.309,9508.618,9604.666,1.56936,0.29
20,-4222.028,8484.056,8580.104,0.8975187,0.31
20,-4564.425,9168.85,9264.898,2.23866,0.31
20,-4560.113,9160.227,9256.274,1.227278,0.32
20,-4507.079,9054.158,9150.205,1.309744,0.31
20,-5207.235,10454.47,10550.52,2.022337,0.28
20,-4756.556,9553.112,9649.16,1.84182,0.31
20,-4226.452,8492.905,8588.953,1.006555,0.31
20,-5062.158,10164.32,10260.36,1.508662,0.47
20,-3698.179,7436.358,7532.406,0.7195921,0.74
20,-4923.88,9887.76,9983.808,1.37895,0.65
20,-4820.268,9680.536,9776.584,1.390682,0.69
20,-4920.431,9880.861,9976.909,1.719985,0.69
20,-4808.767,9657.533,9753.581,1.463357,0.47
20,-4671.605,9383.21,9479.258,1.261016,0.45
20,-4976.344,9992.687,10088.73,1.869633,0.55
20,-4562.028,9164.057,9260.105,4.226225,0.44
20,-4469.191,8978.381,9074.429,1.354137,0.44
20,-3751.678,7543.356,7639.404,0.7582364,0.43
20,-4775.911,9591.821,9687.869,1.291215,0.45
