"m","log.like","AIC","BIC","MSPE","CT"
20,-5261.89,10563.78,10659.83,1.168747,0.31
20,-5978.534,11997.07,12093.12,1.97632,0.31
20,-5333.686,10707.37,10803.42,1.88096,0.28
20,-5981.088,12002.18,12098.22,1.569273,0.29
20,-5617.311,11274.62,11370.67,1.55874,0.32
20,-5541.611,11123.22,11219.27,1.515342,0.33
20,-4749.268,9538.535,9634.583,1.220921,0.32
20,-5172.29,10384.58,10480.63,1.208968,0.31
20,-5554.626,11149.25,11245.3,1.446952,0.31
20,-5382.59,10805.18,10901.23,1.372336,0.3
20,-5243.801,10527.6,10623.65,1.224337,0.3
20,-4860.293,9760.585,9856.633,1.521073,0.29
20,-4023.874,8087.747,8183.795,0.5544592,0.31
20,-5895.527,11831.05,11927.1,1.850462,0.31
20,-5618.324,11276.65,11372.7,1.642558,0.31
20,-4466.886,8973.772,9069.82,0.7437745,0.31
20,-5018.244,10076.49,10172.54,1.31904,0.3
20,-6005.098,12050.2,12146.24,1.558149,0.3
20,-5745.494,11530.99,11627.04,1.756115,0.3
20,-5600.714,11241.43,11337.48,1.73466,0.31
20,-5526.946,11093.89,11189.94,1.627055,0.2
20,-4009.305,8058.61,8154.658,0.6552716,0.39
20,-5154.636,10349.27,10445.32,1.468176,0.3
20,-5469.37,10978.74,11074.79,1.668356,0.29
20,-5804.648,11649.3,11745.34,1.924839,0.31
20,-5353.043,10746.09,10842.13,1.415878,0.29
20,-5328.956,10697.91,10793.96,1.128524,0.31
20,-5445.175,10930.35,11026.4,1.421583,0.3
20,-5476.884,10993.77,11089.82,1.519873,0.4
20,-4726.654,9493.307,9589.355,0.9098326,0.31
20,-5489.2,11018.4,11114.45,1.335593,0.3
20,-5919.349,11878.7,11974.75,1.83992,0.32
20,-4602.148,9244.296,9340.344,1.180064,0.32
20,-4934.99,9909.981,10006.03,0.9628242,0.31
20,-5537.73,11115.46,11211.51,1.488628,0.33
20,-5492.309,11024.62,11120.67,1.541117,0.33
20,-5131.529,10303.06,10399.11,1.121455,0.31
20,-4918.293,9876.586,9972.634,1.10487,0.32
20,-5310.497,10660.99,10757.04,1.322228,0.34
20,-5503.603,11047.21,11143.25,1.731637,0.28
20,-3951.965,7943.929,8039.977,1.072237,0.31
20,-5853.856,11747.71,11843.76,1.607997,0.28
20,-5571.712,11183.42,11279.47,1.563537,0.31
20,-5833.49,11706.98,11803.03,1.953564,0.33
20,-5122.218,10284.44,10380.48,1.819734,0.28
20,-6182.208,12404.42,12500.46,2.148887,0.29
20,-5452.388,10944.78,11040.82,1.556549,0.32
20,-4789.512,9619.024,9715.072,0.8651451,0.31
20,-5035.805,10111.61,10207.66,1.273183,0.33
20,-5619.596,11279.19,11375.24,1.392285,0.29
20,-4842.308,9724.615,9820.663,1.298336,0.31
20,-5005.806,10051.61,10147.66,1.095461,0.39
20,-5028.332,10096.66,10192.71,1.242641,0.35
20,-5615.297,11270.59,11366.64,1.510866,0.29
20,-4604.189,9248.378,9344.426,1.525783,0.3
20,-5067.078,10174.16,10270.2,1.022237,0.31
20,-4774.473,9588.947,9684.995,0.8765773,0.3
20,-5258.113,10556.23,10652.27,1.438843,0.31
20,-6308.395,12656.79,12752.84,2.229869,0.3
20,-5661.129,11362.26,11458.31,1.520298,0.28
20,-6079.58,12199.16,12295.21,1.983246,0.33
20,-5340.84,10721.68,10817.73,1.233016,0.31
20,-5445.481,10930.96,11027.01,1.236367,0.3
20,-5363.763,10767.53,10863.57,1.431338,0.29
20,-5833.823,11707.65,11803.69,2.05684,0.31
20,-5614.215,11268.43,11364.48,1.576412,0.3
20,-5638.225,11316.45,11412.5,1.536295,0.28
20,-5198.407,10436.81,10532.86,1.28184,0.31
20,-5760.327,11560.65,11656.7,1.78718,0.38
20,-5086.315,10212.63,10308.68,2.252881,0.17
20,-4837.691,9715.382,9811.43,1.166452,0.29
20,-5362.825,10765.65,10861.7,1.490112,0.31
20,-4498.57,9037.14,9133.187,0.9699018,0.32
20,-5274.858,10589.72,10685.76,1.570436,0.32
20,-5729.172,11498.34,11594.39,1.945045,0.32
20,-5613.907,11267.81,11363.86,1.413836,0.3
20,-5523.555,11087.11,11183.16,1.578286,0.31
20,-5913.767,11867.53,11963.58,1.616093,0.39
20,-5657.5,11355,11451.05,1.487734,0.3
20,-5263.272,10566.54,10662.59,1.282423,0.56
20,-5280.379,10600.76,10696.81,1.559883,0.29
20,-5474.745,10989.49,11085.54,1.42371,0.29
20,-5421.257,10882.51,10978.56,1.424519,0.26
20,-5112.58,10265.16,10361.21,1.039381,0.29
20,-4652.545,9345.091,9441.139,1.148676,0.3
20,-3961.76,7963.52,8059.568,1.231124,0.3
20,-5796.864,11633.73,11729.78,2.201293,0.3
20,-5930.797,11901.59,11997.64,1.672321,0.28
20,-5352.908,10745.82,10841.86,1.356852,0.25
20,-5785.015,11610.03,11706.08,1.484201,0.28
20,-5236.337,10512.67,10608.72,1.510988,0.28
20,-5803.535,11647.07,11743.12,1.704163,0.25
20,-4487.404,9014.807,9110.855,0.6818676,0.32
20,-5613.278,11266.56,11362.6,1.816647,0.27
20,-5784.585,11609.17,11705.22,1.680501,0.27
20,-5496.606,11033.21,11129.26,1.63715,0.29
20,-5979.023,11998.05,12094.09,1.826281,0.26
20,-5593.708,11227.42,11323.46,2.022386,0.28
20,-5813.921,11667.84,11763.89,1.737157,0.29
20,-5413.97,10867.94,10963.99,1.514116,0.28
