"m","log.like","AIC","BIC","MSPE","CT"
21,-4824.067,9690.134,9782.469,1.98668,1.587
21,-4848.574,9739.148,9831.484,2.695771,1.7595
21,-3920.515,7883.031,7975.366,1.107827,2.0769
21,-4416.217,8874.434,8966.769,1.751628,2.1459
21,-4474.185,8990.371,9082.706,1.363905,1.5663
21,-4432.341,8906.682,8999.018,1.339231,2.0079
21,-4887.894,9817.788,9910.123,2.273514,2.7186
21,-4627.966,9297.932,9390.268,1.423566,2.4288
21,-4403.674,8849.347,8941.683,1.944987,1.9527
21,-4541.13,9124.259,9216.595,1.913031,2.2494
21,-4478.354,8998.708,9091.043,1.929889,2.2218
21,-3777.496,7596.991,7689.327,1.513344,2.3736
21,-4006.158,8054.315,8146.651,1.649122,2.2701
21,-4082.757,8207.514,8299.849,1.047809,2.3046
21,-4523.721,9089.442,9181.777,1.509392,2.5047
21,-4342.491,8726.982,8819.318,1.08625,2.0631
21,-4856.541,9755.081,9847.417,2.070742,2.0079
21,-4119.619,8281.237,8373.573,1.088845,2.3943
21,-4379.04,8800.079,8892.415,1.616824,2.0217
21,-4271.63,8585.259,8677.595,1.090546,2.2701
21,-4345.573,8733.146,8825.482,1.335377,2.0976
21,-4023.681,8089.362,8181.697,1.561923,2.3529
21,-3914.885,7871.771,7964.106,1.382688,2.2287
21,-3556.66,7155.321,7247.657,0.6916438,2.3391
21,-3540.463,7122.927,7215.262,1.012145,2.2632
21,-4884.409,9810.818,9903.154,2.40312,1.9458
21,-4466.347,8974.694,9067.03,2.202659,2.8152
21,-4452.5,8947,9039.336,1.723264,2.3598
21,-3349.098,6740.196,6832.532,0.9351279,2.8083
21,-4096.577,8235.153,8327.489,1.039515,2.4012
21,-3932.402,7906.804,7999.14,0.815339,2.4909
21,-3864.844,7771.688,7864.023,0.9956087,2.3667
21,-4631.415,9304.83,9397.165,1.894618,2.208
21,-4022.258,8086.516,8178.851,1.099071,1.9665
21,-4418.09,8878.181,8970.516,1.413931,1.8078
21,-3865.72,7773.439,7865.775,1.023993,2.0148
21,-3964.845,7971.69,8064.025,1.381301,1.8768
21,-4338.598,8719.196,8811.532,1.539212,1.8009
21,-4278.013,8598.026,8690.361,2.875682,2.07
21,-4992.059,10026.12,10118.45,1.863459,1.9941
21,-3859.506,7761.012,7853.347,1.14712,2.2425
21,-5034.051,10110.1,10202.44,3.353787,2.0355
21,-4181.229,8404.458,8496.793,1.316653,1.8216
21,-4617.389,9276.778,9369.113,1.744291,2.1252
21,-4254.526,8551.051,8643.387,1.003008,3.0291
21,-4207.851,8457.702,8550.038,1.406958,3.3051
21,-4256.488,8554.976,8647.312,1.702906,2.3184
21,-4063.705,8169.41,8261.745,1.816742,2.6496
21,-4028.569,8099.139,8191.474,1.128789,2.3736
21,-4266.217,8574.433,8666.769,1.308908,2.0355
21,-4126.006,8294.011,8386.347,1.643119,2.3046
21,-4456.704,8955.409,9047.744,1.651162,2.208
21,-3495.603,7033.206,7125.542,0.6596588,2.4771
21,-4504.055,9050.111,9142.446,2.106871,1.5456
21,-3857.195,7756.39,7848.725,0.9306121,1.7664
21,-4265.795,8573.59,8665.925,1.338243,1.7319
21,-4209.791,8461.583,8553.918,1.658928,1.7871
21,-4495.379,9032.758,9125.093,1.637191,1.8354
21,-4054.329,8150.659,8242.994,1.565758,1.8216
21,-4283.906,8609.813,8702.148,1.725873,2.2701
21,-4018.496,8078.992,8171.328,1.087875,2.2356
21,-4357.654,8757.307,8849.643,1.401867,2.0838
21,-4011.711,8065.423,8157.758,0.8933591,1.9458
21,-2499.884,5041.767,5134.103,1.46456,2.0493
21,-4532.372,9106.745,9199.08,1.314248,2.2011
21,-4091.525,8225.05,8317.385,2.413676,2.1804
21,-4443.932,8929.864,9022.2,1.926173,2.277
21,-3622.074,7286.148,7378.484,1.064484,2.0769
21,-3564.5,7170.999,7263.335,1.751859,1.9872
21,-3970.862,7983.725,8076.06,1.135887,2.1459
21,-3863.582,7769.165,7861.5,1.215447,2.277
21,-4166.378,8374.757,8467.092,1.067095,2.5254
21,-4080.212,8202.424,8294.759,1.180962,2.139
21,-3781.89,7605.781,7698.116,0.9148699,2.4219
21,-4204.142,8450.284,8542.62,1.445889,2.5461
21,-4771,9584.001,9676.336,1.677052,1.9527
21,-4576.603,9195.207,9287.542,1.444398,2.346
21,-4410.93,8863.86,8956.195,1.918072,2.415
21,-4798.532,9639.065,9731.4,1.698963,2.1873
21,-4312.884,8667.767,8760.103,1.352987,2.1183
21,-4525.765,9093.53,9185.865,1.37022,1.9665
21,-3826.995,7695.991,7788.326,0.9192108,1.9182
21,-4289.167,8620.335,8712.67,1.614512,2.3667
21,-4383.691,8809.382,8901.717,1.155408,2.4357
21,-3986.698,8015.396,8107.732,1.196482,2.5461
21,-4085.526,8213.053,8305.388,1.042393,2.2425
21,-4408.297,8858.595,8950.93,1.381765,2.4081
21,-4239.091,8520.182,8612.517,1.933425,2.4633
21,-4262.867,8567.734,8660.07,1.894928,2.7807
21,-4176.127,8394.253,8486.589,1.213871,2.4978
21,-4294.346,8630.692,8723.027,1.039478,2.3391
21,-4190.713,8423.426,8515.762,1.146717,2.1045
21,-4808.489,9658.978,9751.313,1.526345,2.5461
21,-3873.886,7789.771,7882.107,1.664559,2.5599
21,-3921.633,7885.266,7977.602,1.19376,2.415
21,-4092.35,8226.7,8319.036,1.749951,2.5116
21,-4757.756,9557.513,9649.848,2.037276,2.6013
21,-4009.068,8060.136,8152.471,1.605448,2.622
21,-3804.367,7650.734,7743.069,1.105332,2.4909
21,-4765.917,9573.834,9666.17,2.500126,2.3391
