"m","log.like","AIC","BIC","MSPE","CT"
19,-1203.216,2444.431,2514.803,1.425159,0.3864
19,-1555.152,3148.303,3218.675,1.221849,0.4485
19,-1680.218,3398.435,3468.807,1.388668,0.3519
19,-1494.687,3027.374,3097.746,1.065408,0.3726
19,-1557.233,3152.465,3222.837,1.00094,0.345
19,-1635.817,3309.634,3380.006,1.775996,0.3312
19,-1811.635,3661.271,3731.643,1.558203,0.3381
19,-1832.065,3702.129,3772.501,1.831626,0.3519
19,-1769.034,3576.069,3646.44,1.640376,0.3519
19,-1717.903,3473.807,3544.179,1.375402,0.4347
19,-1377.778,2793.557,2863.929,1.253516,0.3381
19,-1448.645,2935.291,3005.663,1.04883,0.3174
19,-1454.382,2946.764,3017.136,0.9398245,0.345
19,-1604.946,3247.892,3318.264,1.123037,0.345
19,-1521.648,3081.296,3151.668,1.186639,0.3381
19,-1679.694,3397.388,3467.76,1.485051,0.3243
19,-1606.097,3250.194,3320.565,1.109577,0.3519
19,-1469.763,2977.527,3047.899,1.806139,0.3588
19,-1864.041,3766.082,3836.454,2.242863,0.3036
19,-1603.26,3244.52,3314.892,1.261512,0.3243
19,-1745.834,3529.668,3600.04,1.485616,0.3312
19,-1736.661,3511.322,3581.694,1.563847,0.3588
19,-1596.183,3230.365,3300.737,1.343791,0.3312
19,-1736.143,3510.286,3580.658,1.719298,0.345
19,-1468.705,2975.409,3045.781,1.007961,0.345
19,-1777.659,3593.318,3663.689,1.659829,0.3243
19,-1802.366,3642.732,3713.103,1.996064,0.3381
19,-1730.185,3498.37,3568.742,1.627922,0.3312
19,-1421.144,2880.287,2950.659,1.150339,0.3726
19,-1798.711,3635.422,3705.794,1.866935,0.3657
19,-1620.902,3279.804,3350.176,1.976671,0.3312
19,-1560.224,3158.448,3228.819,1.408031,0.3381
19,-1620.857,3279.715,3350.087,1.606733,0.4347
19,-1377.873,2793.746,2864.118,0.7973472,0.345
19,-1618.787,3275.573,3345.945,1.894294,0.3726
19,-1690.66,3419.32,3489.692,2.066445,0.4278
19,-1830.252,3698.503,3768.875,1.542256,0.345
19,-1817.835,3673.67,3744.042,1.404885,0.3243
19,-1715.034,3468.067,3538.439,1.607523,0.345
