"m","log.like","AIC","BIC","MSPE","CT"
19,-5593.565,11225.13,11316.38,1.16408,0.25
19,-6278.708,12595.42,12686.66,1.98517,0.26
19,-5711.172,11460.34,11551.59,1.847327,0.23
19,-6463.675,12965.35,13056.6,1.571134,0.24
19,-5911.952,11861.9,11953.15,1.578618,0.22
19,-5805.868,11649.74,11740.98,1.503576,0.27
19,-5054.054,10146.11,10237.35,1.206108,0.25
19,-5435.817,10909.63,11000.88,1.225379,0.27
19,-5937.755,11913.51,12004.76,1.435748,0.27
19,-5718.222,11474.44,11565.69,1.380416,0.26
19,-5635.444,11308.89,11400.13,1.231011,0.27
19,-5157.759,10353.52,10444.76,1.491348,0.29
19,-4350.787,8739.575,8830.82,0.5601423,0.27
19,-6296.408,12630.82,12722.06,1.904669,0.27
19,-5897.853,11833.71,11924.95,1.664765,0.25
19,-4796.954,9631.909,9723.154,0.7225558,0.25
19,-5314.314,10666.63,10757.87,1.348617,0.25
19,-6218.215,12474.43,12565.68,1.566236,0.28
19,-6065.518,12169.04,12260.28,1.760684,0.25
19,-5839.044,11716.09,11807.33,1.720973,0.27
19,-5841.752,11721.5,11812.75,1.608373,0.28
19,-4417.629,8873.257,8964.503,0.6645316,0.25
19,-5351.471,10740.94,10832.19,1.45887,0.23
19,-5773.731,11585.46,11676.71,1.667618,0.25
19,-6046.357,12130.71,12221.96,1.945646,0.28
19,-5692.766,11423.53,11514.78,1.413609,0.28
19,-5601.677,11241.35,11332.6,1.131709,0.24
19,-5690.492,11418.98,11510.23,1.429484,0.25
19,-5809.821,11657.64,11748.89,1.519598,0.25
19,-5001.838,10041.68,10132.92,0.9115503,0.25
19,-5945.884,11929.77,12021.01,1.393754,0.26
19,-6179.935,12397.87,12489.12,1.840357,0.23
19,-4954.402,9946.803,10038.05,1.18145,0.26
19,-5269.085,10576.17,10667.42,0.938611,0.27
19,-5899.431,11836.86,11928.11,1.541222,0.26
19,-5936.569,11911.14,12002.38,1.531247,0.24
19,-5383.347,10804.69,10895.94,1.116056,0.2
19,-5256.394,10550.79,10642.03,1.076782,0.28
19,-5634.849,11307.7,11398.94,1.33128,0.28
19,-5857.138,11752.28,11843.52,1.711317,0.25
19,-4365.425,8768.85,8860.096,1.065895,0.33
19,-6069.438,12176.88,12268.12,1.607038,0.25
19,-5889.64,11817.28,11908.53,1.557853,0.23
19,-6186.743,12411.49,12502.73,1.963797,0.28
19,-5440.592,10919.18,11010.43,1.78604,0.25
19,-6600.361,13238.72,13329.97,2.166099,0.3
19,-5763.644,11565.29,11656.53,1.578574,0.26
19,-5145.45,10328.9,10420.15,0.877567,0.24
19,-5411.408,10860.82,10952.06,1.263243,0.23
19,-6053.366,12144.73,12235.98,1.36727,0.25
19,-5189.079,10416.16,10507.4,1.297713,0.25
19,-5276.9,10591.8,10683.04,1.113885,0.28
19,-5483.911,11005.82,11097.07,1.2744,0.2
19,-6039.961,12117.92,12209.17,1.546346,0.27
19,-4972.789,9983.579,10074.82,1.502758,0.22
19,-5398.23,10834.46,10925.71,1.019566,0.27
19,-5117.852,10273.7,10364.95,0.8795814,0.25
19,-5545.971,11129.94,11221.19,1.409889,0.26
19,-6666.333,13370.67,13461.91,2.230798,0.27
19,-5937.933,11913.87,12005.11,1.524733,0.26
19,-6331.139,12700.28,12791.52,2.004165,0.28
19,-5721.202,11480.4,11571.65,1.255561,0.27
19,-5724.312,11486.62,11577.87,1.226265,0.23
19,-5686.257,11410.51,11501.76,1.447791,0.36
19,-6180.656,12399.31,12490.56,2.080752,0.25
19,-5977.501,11993,12084.25,1.544867,0.26
19,-5923.858,11885.72,11976.96,1.552542,0.23
19,-5462.409,10962.82,11054.06,1.287254,0.27
19,-6011.222,12060.44,12151.69,1.777072,0.28
19,-5463.802,10965.6,11056.85,2.265203,0.13
19,-5069.954,10177.91,10269.15,1.169266,0.28
19,-5608.754,11255.51,11346.75,1.454921,0.25
19,-4778.763,9595.525,9686.771,0.9606881,0.26
19,-5514.919,11067.84,11159.08,1.57059,0.25
19,-6092.561,12223.12,12314.37,1.966844,0.28
19,-5932.863,11903.73,11994.97,1.426418,0.23
19,-5880.224,11798.45,11889.69,1.587498,0.32
19,-6552.594,13143.19,13234.43,1.990347,0.27
19,-5919.949,11877.9,11969.14,1.459828,0.22
19,-5542.621,11123.24,11214.49,1.27261,0.46
19,-5614.219,11266.44,11357.68,1.569108,0.2
19,-5811.21,11660.42,11751.67,1.417965,0.23
19,-5742.993,11523.99,11615.23,1.399459,0.21
19,-5467.66,10973.32,11064.57,1.031258,0.23
19,-5022.381,10082.76,10174.01,1.150728,0.25
19,-4311.967,8661.935,8753.18,1.211421,0.34
19,-6085.827,12209.65,12300.9,2.235957,0.23
19,-6202.473,12442.95,12534.19,1.685363,0.25
19,-5628.977,11295.95,11387.2,1.354707,0.23
19,-6157.008,12352.02,12443.26,1.490936,0.25
19,-5446.008,10930.02,11021.26,1.509339,0.25
19,-6156.065,12350.13,12441.38,1.690898,0.22
19,-4770.053,9578.106,9669.351,0.6719013,0.22
19,-5878.549,11795.1,11886.34,1.805692,0.22
19,-6071.318,12180.64,12271.88,1.664325,0.2
19,-5784.587,11607.17,11698.42,1.635345,0.22
19,-6194.473,12426.95,12518.19,1.847232,0.22
19,-6066.991,12171.98,12263.23,2.046532,0.23
19,-6163.464,12364.93,12456.17,1.709245,0.22
19,-5757.189,11552.38,11643.62,1.544902,0.22
