"m","log.like","AIC","BIC","MSPE","CT"
22,-1864.656,3773.312,3854.795,1.285883,15.89
22,-1993.749,4031.499,4112.982,1.705121,9.84
22,-1830.279,3704.558,3786.041,1.769999,11.27
22,-1838.055,3720.109,3801.593,1.510691,12.28
22,-1850.904,3745.809,3827.292,2.001076,7.27
22,-1980.697,4005.393,4086.877,1.876015,9.5
22,-1400.95,2845.9,2927.384,0.9764765,13.36
22,-1476.539,2997.079,3078.562,0.8733199,13.04
22,-1801.888,3647.777,3729.26,1.498768,14.25
22,-1981.661,4007.322,4088.805,1.717591,10.14
22,-1525.091,3094.183,3175.666,1.407467,13.75
22,-1609.297,3262.593,3344.076,0.7657635,13.06
22,-1620.293,3284.587,3366.07,1.170517,17.38
22,-1675.149,3394.299,3475.782,1.310092,13.64
22,-1646.438,3336.876,3418.359,1.572113,16.1
22,-1622.168,3288.337,3369.82,1.253203,10.91
22,-1782.832,3609.665,3691.148,1.504819,12.06
22,-1879.204,3802.407,3883.891,1.520386,11.18
22,-1725.002,3494.005,3575.488,1.117525,11.51
22,-1600.486,3244.971,3326.454,0.9468819,11.03
22,-1900.735,3845.47,3926.954,1.673007,10.78
22,-1802.007,3648.015,3729.498,1.718016,9.79
22,-1653.986,3351.972,3433.455,0.9214153,13.18
22,-1823.812,3691.624,3773.107,1.596807,10.63
22,-1624.816,3293.633,3375.116,1.35743,11.5
22,-1916.086,3876.171,3957.655,2.115787,9.64
22,-1831.193,3706.387,3787.87,1.427724,13.53
22,-1789.78,3623.56,3705.043,1.573884,16.67
22,-2022.069,4088.138,4169.621,2.014941,9.6
22,-1604.307,3252.613,3334.097,0.8026633,12.47
22,-1471.762,2987.523,3069.006,0.7581771,12.63
22,-2095.894,4235.788,4317.271,3.100231,9.35
22,-1591.995,3227.989,3309.472,1.370385,13.69
22,-1807.072,3658.145,3739.628,1.43296,10.03
22,-1288.37,2620.741,2702.224,0.897131,14.19
22,-2031.547,4107.093,4188.576,1.935503,11.48
22,-1598.803,3241.606,3323.09,1.194077,11.19
22,-1828.61,3701.221,3782.704,1.462908,9.84
22,-1588.881,3221.763,3303.246,2.316096,10.47
22,-1637.236,3318.471,3399.955,1.259697,13.5
22,-1841.723,3727.445,3808.928,1.429366,10.52
22,-1805.474,3654.949,3736.432,1.238049,14.08
22,-1689.08,3422.159,3503.642,1.189063,11.88
22,-1959.23,3962.46,4043.943,1.820737,12.81
22,-1599.342,3242.685,3324.168,0.9955349,12.78
22,-1686.369,3416.738,3498.221,1.327805,12.19
22,-1683.346,3410.691,3492.175,1.686627,10.78
22,-1970.504,3985.008,4066.491,1.616087,10.07
22,-1875.682,3795.363,3876.847,1.568597,10.12
22,-1704.272,3452.545,3534.028,1.116795,11.99
22,-1417.64,2879.28,2960.763,0.8227739,13.86
22,-1733.397,3510.795,3592.278,1.567722,11.28
22,-1861.988,3767.977,3849.46,1.841097,10.19
22,-1831.113,3706.227,3787.71,1.290108,16.14
22,-1786.298,3616.596,3698.079,1.413556,11.47
22,-1579.486,3202.971,3284.455,1.087271,11
22,-1663.079,3370.158,3451.641,1.232745,11.91
22,-1774.541,3593.082,3674.566,1.246522,11.04
22,-1807.035,3658.07,3739.553,2.088657,19
22,-1501.928,3047.856,3129.339,1.347312,17.03
22,-1342.609,2729.218,2810.701,1.141182,14
22,-1878.067,3800.134,3881.618,1.985322,9.39
22,-1967.983,3979.965,4061.448,2.11181,10.45
22,-1874.085,3792.17,3873.653,1.925826,12.25
22,-1262.482,2568.964,2650.447,0.5478954,11.75
22,-1646.247,3336.493,3417.976,0.9208266,10.3
22,-1468.303,2980.607,3062.09,1.115258,10.69
22,-1983.044,4010.088,4091.571,1.640777,11.18
22,-1844.69,3733.381,3814.864,1.830658,13.63
22,-1869.985,3783.97,3865.454,1.877894,10
22,-1583.965,3211.93,3293.413,1.538484,10.03
22,-1845.412,3734.824,3816.307,1.519352,10.86
22,-1925.997,3895.994,3977.477,1.25793,9.34
22,-1827.592,3699.184,3780.667,1.731997,10.81
22,-1899.425,3842.85,3924.334,1.367416,11.53
22,-1467.457,2978.913,3060.396,0.5177766,13
22,-1724.4,3492.799,3574.282,1.297535,9.68
22,-1763.353,3570.706,3652.189,1.213232,15.15
22,-1622.771,3289.542,3371.025,1.378885,11.34
22,-1889.622,3823.245,3904.728,1.565727,10.02
22,-1831.904,3707.808,3789.291,1.482215,11.01
22,-1657.146,3358.291,3439.775,0.9314199,11.27
22,-1766.36,3576.72,3658.203,1.390059,11.88
22,-1713.597,3471.195,3552.678,1.041436,14.01
22,-1931.136,3906.272,3987.755,2.064543,10.32
22,-2040.597,4125.194,4206.677,2.838253,9.63
22,-1741.465,3526.931,3608.414,1.545971,13.62
22,-1930.775,3905.55,3987.033,2.109427,9.56
22,-2036.929,4117.859,4199.342,1.639962,10.55
22,-1662.02,3368.041,3449.524,1.263092,13.67
22,-2096.255,4236.509,4317.992,2.727959,10.16
22,-1782.662,3609.325,3690.808,1.273987,15.75
22,-1994.513,4033.025,4114.509,2.248997,9.96
22,-1853.196,3750.393,3831.876,1.417699,10.73
22,-1835.026,3714.052,3795.535,1.208629,10.82
22,-1926.28,3896.56,3978.043,2.123572,12
22,-1768.946,3581.892,3663.375,1.466897,11.11
22,-1844.599,3733.198,3814.681,1.898531,10.03
22,-1883.628,3811.256,3892.739,1.749267,10.06
22,-1778.928,3601.856,3683.339,1.184124,9.83
