"m","log.like","AIC","BIC","MSPE","CT"
21,-6447.118,12936.24,13037.09,1.028101,1.3861
21,-7304.558,14651.12,14751.97,2.248008,1.4359
21,-6564.953,13171.91,13272.76,1.558662,1.494
21,-7117.693,14277.39,14378.24,1.306696,1.5687
21,-6133.431,12308.86,12409.71,1.263323,1.3031
21,-6106.718,12255.44,12356.29,1.216816,1.4193
21,-6706.867,13455.73,13556.58,1.69572,1.6434
21,-5988.06,12018.12,12118.97,0.8846394,1.5023
21,-6841.784,13725.57,13826.42,1.650983,1.494
21,-6676.872,13395.74,13496.59,1.28863,1.4359
21,-6781.549,13605.1,13705.95,1.745567,1.4193
21,-6353.229,12748.46,12849.31,1.439158,1.4442
21,-6505.831,13053.66,13154.51,1.611656,1.6683
21,-6200.877,12443.75,12544.6,0.893495,1.494
21,-6690.715,13423.43,13524.28,2.003763,1.4027
21,-6375.445,12792.89,12893.74,1.690236,1.4774
21,-6982.998,14008,14108.85,1.751784,1.3944
21,-6568.389,13178.78,13279.63,1.501085,1.3861
21,-5920.635,11883.27,11984.12,1.26127,1.4774
21,-6803.941,13649.88,13750.73,1.894391,1.3695
21,-6561.257,13164.51,13265.36,1.671799,1.3778
21,-6416.614,12875.23,12976.08,1.142851,1.5438
21,-6445.549,12933.1,13033.95,1.541204,1.4774
21,-6082.566,12207.13,12307.98,1.121212,1.3197
21,-4987.461,10016.92,10117.77,0.7385866,1.3446
21,-5950.992,11943.98,12044.83,1.324626,1.5438
21,-6371.415,12784.83,12885.68,1.501968,1.4525
21,-6563.45,13168.9,13269.75,1.429746,1.3446
21,-5863.212,11768.42,11869.27,0.9909394,1.4857
21,-6048.476,12138.95,12239.8,1.564152,1.5604
21,-6855.93,13753.86,13854.71,1.789631,1.6019
21,-6506.481,13054.96,13155.81,1.246607,1.3612
21,-7034.248,14110.5,14211.35,1.873454,1.2616
21,-6058.118,12158.24,12259.09,1.085994,1.3612
21,-5820.207,11682.41,11783.26,1.334032,1.5604
21,-6468.969,12979.94,13080.79,1.188315,1.4857
21,-5272.741,10587.48,10688.33,0.8623486,1.4774
21,-7006.595,14055.19,14156.04,1.753475,1.3695
21,-6447.735,12937.47,13038.32,1.183537,1.3363
21,-6554.795,13151.59,13252.44,1.455918,1.4691
21,-6499.016,13040.03,13140.88,1.793904,1.4525
21,-6512.47,13066.94,13167.79,1.421622,1.5272
21,-5748.113,11538.23,11639.08,1.084229,1.4027
21,-6425.949,12893.9,12994.75,1.146707,1.4276
21,-6035.378,12112.76,12213.61,1.006252,1.6351
21,-6705.623,13453.25,13554.1,1.788139,1.5272
21,-6487.717,13017.43,13118.28,1.243755,1.6102
21,-6530.394,13102.79,13203.64,1.186731,1.6434
21,-6308.369,12658.74,12759.59,1.320664,1.3612
21,-6262.885,12567.77,12668.62,1.407227,1.5023
21,-6893.085,13828.17,13929.02,1.625069,1.5438
21,-6740.038,13522.08,13622.93,1.192158,1.2699
21,-7292.981,14627.96,14728.81,2.069124,1.4276
21,-6545.944,13133.89,13234.74,1.532292,1.5438
21,-7108.868,14259.74,14360.59,1.652817,1.3861
21,-6550.368,13142.74,13243.59,1.560014,1.4525
21,-7027.953,14097.91,14198.76,1.775846,1.7181
21,-6152.991,12347.98,12448.83,1.035799,1.5355
21,-5620.927,11283.85,11384.7,0.8748831,1.3861
21,-6924.525,13891.05,13991.9,2.210254,1.6683
21,-6039.76,12121.52,12222.37,0.9584868,1.4691
21,-6222.593,12487.19,12588.04,1.288433,1.5687
21,-6505.884,13053.77,13154.62,1.292109,1.5687
21,-6468.571,12979.14,13079.99,2.402806,1.3363
21,-6571.55,13185.1,13285.95,1.595054,1.5521
21,-6181.488,12404.98,12505.83,1.310282,1.5189
21,-6723.255,13488.51,13589.36,1.561517,1.5521
21,-6529.63,13101.26,13202.11,1.348592,1.3861
21,-6379.029,12800.06,12900.91,1.095565,1.5355
21,-6430.541,12903.08,13003.93,1.191435,1.3197
21,-6909.997,13861.99,13962.84,1.487361,1.4774
21,-6419.441,12880.88,12981.73,1.676134,1.4608
21,-6628.775,13299.55,13400.4,1.270339,1.4691
21,-6832.812,13707.62,13808.47,1.829924,1.4525
21,-6604.752,13251.5,13352.35,1.271953,1.2699
21,-6378.601,12799.2,12900.05,1.234808,1.6185
21,-6301.162,12644.32,12745.17,1.445716,1.5189
21,-6672.529,13387.06,13487.91,1.455148,1.494
21,-5402.94,10847.88,10948.73,0.8031442,1.4525
21,-6941.342,13924.68,14025.53,1.837583,1.6849
21,-5419.654,10881.31,10982.16,1.315051,2.0086
21,-6519.196,13080.39,13181.24,1.346857,2.0003
21,-7203.537,14449.07,14549.93,1.565709,2.2078
21,-6300.813,12643.63,12744.48,1.335378,1.8841
21,-5940.029,11922.06,12022.91,0.9748081,1.9339
21,-6284.713,12611.43,12712.28,1.278069,1.9505
21,-6605.886,13253.77,13354.62,1.307931,2.0916
21,-6505.02,13052.04,13152.89,1.599966,2.0999
21,-6040.229,12122.46,12223.31,1.118899,2.158
21,-6619.751,13281.5,13382.35,1.438629,1.9837
21,-6573.801,13189.6,13290.45,1.786976,2.0916
21,-6554.746,13151.49,13252.34,1.187841,1.8177
21,-6705.631,13453.26,13554.11,1.711414,2.1082
21,-5471.135,10984.27,11085.12,1.052613,2.1663
21,-6954.229,13950.46,14051.31,2.030631,1.9339
21,-7024.003,14090.01,14190.86,2.613263,2.1746
21,-6927.266,13896.53,13997.38,1.922694,1.992
21,-6102.57,12247.14,12347.99,1.186451,1.8924
21,-6606.992,13255.98,13356.83,1.752968,1.8758
21,-6145.658,12333.32,12434.17,1.149885,2.1995
