"m","log.like","AIC","BIC","MSPE","CT"
19,-1967.87,3973.739,4044.111,1.301265,0.22
19,-2101.404,4240.807,4311.179,1.6466,0.21
19,-1991.177,4020.353,4090.725,1.679199,0.17
19,-1975.54,3989.08,4059.451,1.48547,0.19
19,-1911.087,3860.173,3930.545,1.971835,0.22
19,-2062.608,4163.215,4233.587,1.865869,0.17
19,-1529.974,3097.949,3168.321,0.9106473,0.19
19,-1647.386,3332.772,3403.143,0.8361593,0.17
19,-1927.159,3892.319,3962.691,1.475767,0.19
19,-2149.712,4337.424,4407.796,1.763319,0.2
19,-1676.665,3391.329,3461.701,1.448192,0.18
19,-1741.352,3520.704,3591.075,0.7240215,0.19
19,-1802.727,3643.453,3713.825,1.175723,0.17
19,-1831.173,3700.347,3770.718,1.307656,0.2
19,-1790.753,3619.506,3689.878,1.534266,0.18
19,-1764.795,3567.59,3637.962,1.303867,0.13
19,-1906.786,3851.573,3921.944,1.515288,0.17
19,-2005.091,4048.181,4118.553,1.458574,0.17
19,-1801.927,3641.855,3712.226,1.142641,0.17
19,-1711.022,3460.044,3530.416,0.9644207,0.19
19,-2023.437,4084.873,4155.245,1.665387,0.2
19,-1886.216,3810.431,3880.803,1.772362,0.17
19,-1772.202,3582.404,3652.775,0.8558397,0.21
19,-1976.83,3991.66,4062.032,1.574438,0.17
19,-1721.766,3481.532,3551.904,1.352534,0.09
19,-2073.486,4184.972,4255.344,2.208034,0.21
19,-1956.918,3951.837,4022.209,1.429695,0.19
19,-2000.686,4039.372,4109.744,1.613207,0.18
19,-2275.751,4589.502,4659.873,2.354728,0.17
19,-1703.727,3445.455,3515.826,0.8143009,0.2
19,-1653.839,3345.679,3416.051,0.7251937,0.19
19,-2199.646,4437.291,4507.663,3.24585,0.19
19,-1774.638,3587.276,3657.648,1.334649,0.17
19,-1914.342,3866.684,3937.056,1.427088,0.16
19,-1463.247,2964.494,3034.866,0.8977975,0.19
19,-2128.11,4294.22,4364.591,1.96729,0.17
19,-1725.875,3489.75,3560.122,1.23585,0.18
19,-1862.123,3762.247,3832.619,1.410877,0.17
19,-1678.117,3394.234,3464.606,2.266788,0.2
19,-1830.649,3699.298,3769.67,1.235424,0.16
19,-2022.145,4082.291,4152.662,1.494547,0.19
19,-1936.762,3911.524,3981.896,1.285657,0.18
19,-1791.6,3621.2,3691.572,1.165378,0.19
19,-2062.51,4163.02,4233.391,1.915204,0.18
19,-1639.744,3317.488,3387.859,0.971681,0.2
19,-1855.838,3749.676,3820.048,1.324193,0.18
19,-1760.198,3558.396,3628.767,1.787306,0.19
19,-2101.812,4241.624,4311.996,1.803947,0.19
19,-2006.875,4051.751,4122.122,1.370903,0.22
19,-1828.949,3695.899,3766.271,1.135698,0.19
19,-1644.876,3327.753,3398.124,0.9703189,0.21
19,-1910.386,3858.772,3929.144,1.538988,0.19
19,-2030.682,4099.364,4169.735,1.886259,0.21
19,-1978.909,3995.817,4066.189,1.303253,0.2
19,-1874.515,3787.03,3857.402,1.402863,0.21
19,-1701.852,3441.703,3512.075,1.094735,0.2
19,-1819.493,3676.985,3747.357,1.191816,0.17
19,-1894.042,3826.083,3896.455,1.259297,0.34
19,-1934.916,3907.832,3978.204,2.322364,0.21
19,-1625.789,3289.577,3359.949,1.331571,0.22
19,-1452.674,2943.347,3013.719,1.166626,0.15
19,-2028.553,4095.106,4165.478,2.042426,0.2
19,-2062.055,4162.11,4232.482,2.145707,0.2
19,-1975.767,3989.535,4059.907,1.992291,0.2
19,-1484.84,3007.68,3078.052,0.6631404,0.21
19,-1809.941,3657.881,3728.253,0.8625925,0.21
19,-1581.072,3200.145,3270.517,1.165581,0.2
19,-2099.277,4236.555,4306.927,1.781699,0.21
19,-1953.939,3945.877,4016.249,1.875985,0.21
19,-2044.269,4126.537,4196.909,1.865997,0.18
19,-1681.583,3401.167,3471.539,1.520764,0.19
19,-1979.174,3996.348,4066.72,1.517774,0.21
19,-2046.737,4131.473,4201.845,1.248944,0.17
19,-2032.321,4102.642,4173.014,1.636058,0.18
19,-2061.927,4161.855,4232.227,1.728544,0.19
19,-1606.693,3251.386,3321.758,0.5234273,0.2
19,-1853.217,3744.434,3814.806,1.261607,0.14
19,-1912.43,3862.859,3933.231,1.222051,0.18
19,-1765.32,3568.641,3639.013,1.364538,0.16
19,-1975.771,3989.542,4059.914,1.643689,0.19
19,-1914.681,3867.363,3937.734,1.546077,0.2
19,-1766.906,3571.813,3642.185,0.9233153,0.21
19,-1873.414,3784.827,3855.199,1.375057,0.23
19,-1866.201,3770.401,3840.773,1.000098,0.2
19,-2092.294,4222.588,4292.96,1.99587,0.21
19,-2152.68,4343.359,4413.731,2.928918,0.19
19,-1942.979,3923.958,3994.33,1.581486,0.17
19,-2018.094,4074.188,4144.56,2.142984,0.18
19,-2178.843,4395.685,4466.057,1.729698,0.2
19,-1798.411,3634.822,3705.194,1.247846,0.2
19,-2262.047,4562.094,4632.465,2.572493,0.19
19,-1890.405,3818.81,3889.182,1.263689,0.2
19,-2078.791,4195.582,4265.954,2.202427,0.17
19,-1996.788,4031.575,4101.947,1.389733,0.17
19,-1914.716,3867.433,3937.804,1.202777,0.22
19,-2073.096,4184.192,4254.564,2.184238,0.19
19,-1943.795,3925.59,3995.962,1.555861,0.14
19,-1951.703,3941.405,4011.777,1.896012,0.19
19,-1979.33,3996.66,4067.032,1.75741,0.2
19,-1862.968,3763.936,3834.308,1.177586,0.17
