"m","log.like","AIC","BIC","MSPE","CT"
19,-3480.126,6998.252,7081.793,1.007204,0.25
19,-3241.412,6520.824,6604.366,1.076373,0.25
19,-4242.624,8523.249,8606.79,1.888292,0.28
19,-4216.552,8471.105,8554.646,2.197955,0.35
19,-3550.676,7139.353,7222.894,1.27049,0.33
19,-3768.914,7575.828,7659.37,1.299183,0.25
19,-4191.993,8421.986,8505.527,1.702457,0.3
19,-3917.31,7872.62,7956.161,1.574642,0.28
19,-3444.997,6927.994,7011.535,1.085833,0.28
19,-3581.637,7201.275,7284.816,1.560558,0.31
19,-3761.358,7560.717,7644.258,1.181195,0.3
19,-4288.213,8614.426,8697.968,1.633577,0.28
19,-3489.385,7016.771,7100.313,1.134497,0.28
19,-4002.248,8042.495,8126.037,1.593573,0.29
19,-4225.435,8488.869,8572.411,1.65422,0.35
19,-3722.759,7483.518,7567.06,1.27684,0.31
19,-3914.35,7866.701,7950.242,1.394526,0.3
19,-3917.183,7872.366,7955.908,1.344264,0.3
19,-3873.595,7785.189,7868.731,1.545863,0.34
19,-3604.603,7247.205,7330.747,1.364399,0.27
19,-4280.022,8598.044,8681.585,2.370446,0.27
19,-3417.131,6872.263,6955.804,1.383702,0.34
19,-2985.97,6009.939,6093.481,0.6329227,0.27
19,-3930.818,7899.635,7983.177,1.410249,0.26
19,-3432.692,6903.384,6986.925,0.8907778,0.36
19,-3633.136,7304.272,7387.814,1.524848,0.29
19,-4266.722,8571.444,8654.985,3.292514,0.29
19,-4152.632,8343.265,8426.807,1.833525,0.32
19,-3878.382,7794.765,7878.307,1.522973,0.28
19,-4053.229,8144.457,8227.999,1.67574,0.28
19,-3755.243,7548.486,7632.028,1.18961,0.22
19,-3614.889,7267.778,7351.32,1.206995,0.3
19,-3719.497,7476.994,7560.536,1.396402,0.3
19,-3916.474,7870.948,7954.49,1.111731,0.26
19,-3093.406,6224.812,6308.354,0.9941735,0.27
19,-3845.642,7729.284,7812.825,1.475023,0.28
19,-3976.772,7991.544,8075.085,1.387742,0.27
19,-3207.116,6452.232,6535.773,1.167345,0.33
19,-3884.208,7806.417,7889.958,1.555871,0.25
19,-3990.356,8018.713,8102.254,2.091964,0.27
19,-4012.42,8062.841,8146.382,1.839451,0.3
19,-3667.247,7372.494,7456.036,1.48991,0.3
19,-4012.195,8062.389,8145.931,2.030655,0.31
19,-3493.364,7024.729,7108.271,0.965983,0.3
19,-3718.498,7474.996,7558.538,1.244617,0.3
19,-3552.723,7143.446,7226.988,1.317304,0.3
19,-3840.194,7718.387,7801.929,1.460537,0.28
19,-4308.927,8655.855,8739.397,2.030845,0.33
19,-3488.754,7015.509,7099.05,1.063442,0.3
19,-3587.502,7213.003,7296.545,0.9659109,0.3
19,-4011.986,8061.971,8145.513,1.647489,0.26
19,-3725.969,7489.938,7573.48,1.369054,0.33
19,-3949.718,7937.435,8020.977,1.32099,0.32
19,-4086.838,8211.676,8295.218,1.576577,0.27
19,-3668.576,7375.151,7458.693,1.28609,0.28
19,-4086.951,8211.901,8295.443,1.428121,0.12
19,-4140.241,8318.483,8402.024,2.189784,0.32
19,-3989.989,8017.979,8101.52,1.734202,0.31
19,-4347.594,8733.187,8816.729,1.775449,0.28
19,-4203.419,8444.837,8528.379,1.960234,0.28
19,-3868.896,7775.792,7859.334,1.604774,0.32
19,-3791.21,7620.419,7703.961,1.146521,0.29
19,-3782.305,7602.609,7686.151,1.346242,0.28
19,-3819.067,7676.134,7759.675,1.279654,0.29
19,-4310.028,8658.056,8741.598,1.390526,0.3
19,-3485.815,7009.63,7093.171,1.721672,0.29
19,-3548.773,7135.546,7219.087,0.904024,0.26
19,-3894.082,7826.165,7909.706,1.430174,0.3
19,-3759.752,7557.503,7641.045,1.195691,0.25
19,-3818.237,7674.474,7758.016,1.568199,0.25
19,-3859.379,7756.758,7840.299,1.10576,0.37
19,-3969.839,7977.679,8061.22,1.626946,0.3
19,-4100.318,8238.636,8322.177,1.426829,0.35
19,-3417.301,6872.603,6956.145,1.074822,0.34
19,-4168.339,8374.679,8458.221,1.491081,0.27
19,-4262.73,8563.461,8647.003,2.083468,0.32
19,-3150.321,6338.642,6422.183,1.640125,0.29
19,-3858.017,7754.034,7837.576,1.639798,0.36
19,-3520.608,7079.216,7162.757,0.864049,0.25
19,-3934.793,7907.585,7991.127,1.207373,0.33
19,-4287.273,8612.546,8696.088,1.655646,0.27
19,-3726.335,7490.67,7574.212,1.16634,0.28
19,-3894.83,7827.66,7911.202,1.586543,0.28
19,-3611.628,7261.256,7344.797,1.3754,0.32
19,-3729.056,7496.111,7579.653,0.9956384,0.25
19,-3508.679,7055.358,7138.9,1.626098,0.28
19,-3997.84,8033.681,8117.223,1.432409,0.33
19,-3553.208,7144.415,7227.957,1.175073,0.26
19,-4135.427,8308.854,8392.396,1.76027,0.28
19,-4276.89,8591.78,8675.322,1.81827,0.22
19,-3781.896,7601.791,7685.333,1.114338,0.39
19,-3580.247,7198.494,7282.036,1.254612,0.28
19,-3887.789,7813.578,7897.119,1.437916,0.3
19,-4097.54,8233.081,8316.622,2.239868,0.32
19,-4133.914,8305.828,8389.37,1.901499,0.28
19,-3799.864,7637.728,7721.27,1.64822,0.27
19,-4066.737,8171.473,8255.015,1.847075,0.34
19,-4055.601,8149.203,8232.744,1.641935,0.23
19,-3606.686,7251.371,7334.913,1.005117,0.27
19,-3316.509,6671.018,6754.56,0.949424,0.31
