"m","log.like","AIC","BIC","MSPE","CT"
22,-1857.634,3759.268,3840.751,1.270558,696.38
22,-1990.941,4025.881,4107.364,1.765744,1396.17
22,-1823.782,3691.565,3773.048,1.618928,838.43
22,-1837.899,3719.798,3801.281,1.433916,1462.95
22,-1848.093,3740.185,3821.669,2.061719,1368.58
22,-1976.732,3997.464,4078.948,1.811333,1462.26
22,-1377.854,2799.708,2881.192,0.8985038,1748.15
22,-1440.532,2925.063,3006.546,0.8231243,1747.98
22,-1791,3625.999,3707.483,1.463453,401.01
22,-1978.27,4000.539,4082.022,1.714668,1753.64
22,-1507.634,3059.268,3140.751,1.264848,1750.28
22,-1603.092,3250.185,3331.668,0.7576375,1564.25
22,-1613.902,3271.803,3353.286,1.141472,1752.33
22,-1664.283,3372.566,3454.049,1.356914,888.73
22,-1653.22,3350.44,3431.923,1.469881,594.73
22,-1618.51,3281.019,3362.502,1.191184,1422.73
22,-1782.094,3608.189,3689.672,1.469525,799.52
22,-1873.685,3791.369,3872.852,1.498458,1493.23
22,-1717.866,3479.733,3561.216,1.059402,1304.89
22,-1589.613,3223.226,3304.71,1.003018,1018.69
22,-1900.128,3844.255,3925.739,1.610271,1391.35
22,-1800.975,3645.95,3727.433,1.650733,1457.48
22,-1643.651,3331.301,3412.785,0.8793424,726.78
22,-1812.297,3668.594,3750.078,1.51788,1433.22
22,-1620.054,3284.108,3365.592,1.27662,863.86
22,-1913.151,3870.302,3951.785,2.017326,1408.79
22,-1829.407,3702.814,3784.297,1.341519,855.61
22,-1772.636,3589.273,3670.756,1.327149,1775.06
22,-2021.704,4087.409,4168.892,1.935959,743.89
22,-1597.626,3239.252,3320.735,0.7865634,964.12
22,-1455.691,2955.382,3036.866,0.7010962,764.4
22,-2089.808,4223.616,4305.1,3.411407,1435.61
22,-1573.165,3190.329,3271.812,1.232541,1429.16
22,-1806.294,3656.587,3738.07,1.444838,1001.08
22,-1265.644,2575.289,2656.772,0.8441313,1064.79
22,-2023.048,4090.097,4171.58,1.921188,1427.78
22,-1593.054,3230.108,3311.591,1.144038,917.73
22,-1714.924,3473.848,3555.331,1.402146,1696.87
22,-1582.77,3209.539,3291.022,2.280477,1434.84
22,-1627.301,3298.602,3380.085,1.270748,1324.22
22,-1829.944,3703.889,3785.372,1.502035,1485.73
22,-1750.554,3545.108,3626.591,1.200753,1753.14
22,-1683.609,3411.217,3492.701,1.151348,1484.89
