"m","log.like","AIC","BIC","MSPE","CT"
20,-3350.13,6740.26,6828.199,0.998459,0.31
20,-3075.139,6190.279,6278.217,1.056447,0.31
20,-4011.322,8062.644,8150.582,1.885954,0.36
20,-4043.791,8127.583,8215.521,2.202892,0.38
20,-3251.809,6543.619,6631.557,1.301036,0.38
20,-3582.1,7204.2,7292.139,1.275684,0.34
20,-4037.68,8115.36,8203.299,1.706129,0.35
20,-3723.473,7486.945,7574.884,1.534246,0.33
20,-3249.133,6538.266,6626.204,1.092873,0.33
20,-3363.388,6766.777,6854.715,1.528757,0.37
20,-3285.234,6610.468,6698.406,1.116885,0.33
20,-4021.766,8083.533,8171.471,1.665163,0.36
20,-3300.115,6640.231,6728.169,1.155341,0.46
20,-3846.841,7733.683,7821.621,1.592432,0.34
20,-3991.54,8023.08,8111.019,1.678358,0.37
20,-3503.135,7046.269,7134.208,1.312996,0.34
20,-3678.081,7396.161,7484.1,1.392511,0.33
20,-3716.208,7472.415,7560.354,1.372623,0.33
20,-3651.239,7342.479,7430.417,1.547713,0.36
20,-3397.392,6834.784,6922.722,1.349722,0.35
20,-4109.981,8259.961,8347.9,2.400861,0.31
20,-3205.805,6451.61,6539.548,1.358647,0.29
20,-2802.49,5644.981,5732.919,0.6540452,0.34
20,-3649.644,7339.288,7427.226,1.404531,0.33
20,-3202.359,6444.719,6532.657,0.9099553,0.36
20,-3346.878,6733.756,6821.695,1.486556,0.31
20,-4045.545,8131.091,8219.03,3.143958,0.34
20,-3973.733,7987.466,8075.405,1.826171,0.39
20,-3728.233,7496.466,7584.405,1.527697,0.36
20,-3854.903,7749.806,7837.744,1.657951,0.35
20,-3504.51,7049.019,7136.958,1.158706,0.3
20,-3432.084,6904.168,6992.107,1.22608,0.37
20,-3488.739,7017.477,7105.416,1.372017,0.39
20,-3663.371,7366.741,7454.68,1.12059,0.27
20,-2932.779,5905.558,5993.497,0.9795823,0.39
20,-3621.417,7282.833,7370.772,1.524754,0.41
20,-3685.061,7410.122,7498.061,1.396624,0.33
20,-2987.518,6015.035,6102.974,1.195287,0.39
20,-3697.801,7435.602,7523.541,1.521385,0.33
20,-3783.335,7606.671,7694.609,2.093248,0.31
20,-3858.418,7756.835,7844.774,1.856478,0.31
20,-3514.814,7069.629,7157.567,1.491385,0.31
20,-3813.173,7666.347,7754.286,2.032213,0.36
20,-3271.654,6583.307,6671.246,0.9516802,0.3
20,-3475.752,6991.504,7079.443,1.240952,0.35
20,-3336.732,6713.463,6801.402,1.313422,0.36
20,-3642.22,7324.44,7412.378,1.434009,0.38
20,-4099.916,8239.832,8327.77,2.007155,0.35
20,-3297.233,6634.465,6722.404,1.066236,0.32
20,-3375.053,6790.106,6878.044,0.971379,0.38
20,-3843.105,7726.209,7814.148,1.625035,0.39
20,-3413.972,6867.945,6955.883,1.371732,0.35
20,-3732.15,7504.3,7592.239,1.336593,0.33
20,-3913.22,7866.441,7954.379,1.572988,0.33
20,-3427.336,6894.672,6982.61,1.262674,0.31
20,-3905.956,7851.913,7939.851,1.424771,0.33
20,-4003.642,8047.283,8135.222,2.17275,0.29
20,-3786.309,7612.617,7700.556,1.740508,0.33
20,-4160.99,8361.981,8449.92,1.764758,0.36
20,-4015.695,8071.39,8159.329,1.988631,0.36
20,-3727.342,7494.684,7582.622,1.655243,0.35
20,-3587.983,7215.967,7303.906,1.089301,0.33
20,-3593.442,7226.884,7314.822,1.346394,0.34
20,-3606.925,7253.85,7341.788,1.274394,0.38
20,-3821.326,7682.653,7770.591,1.334174,0.31
20,-3197.44,6434.88,6522.818,1.699955,0.37
20,-3278.404,6596.809,6684.747,0.8903407,0.36
20,-3742.305,7524.61,7612.548,1.415755,0.36
20,-3518.777,7077.554,7165.493,1.198017,0.32
20,-3572.467,7184.935,7272.874,1.56092,0.44
20,-3606.744,7253.488,7341.427,1.102087,0.37
20,-3832.96,7705.92,7793.858,1.629023,0.37
20,-3907.386,7854.772,7942.711,1.432075,0.32
20,-3193.944,6427.888,6515.827,1.075727,0.37
20,-3795.101,7630.203,7718.141,1.484352,0.31
20,-4030.54,8101.08,8189.018,2.047588,0.34
20,-2940.07,5920.14,6008.078,1.591585,0.4
20,-3489.822,7019.645,7107.584,1.672319,0.42
20,-3210.463,6460.926,6548.865,0.8650749,0.3
20,-3619.663,7279.326,7367.265,1.205263,0.31
20,-3966.053,7972.105,8060.044,1.564742,0.39
20,-3452.44,6944.88,7032.819,1.159204,0.34
20,-3676.178,7392.356,7480.294,1.539539,0.31
20,-3368.055,6776.111,6864.049,1.239676,0.32
20,-3516.409,7072.818,7160.756,1.011627,0.28
20,-3368.19,6776.38,6864.319,1.627033,0.28
20,-3749.215,7538.43,7626.368,1.431466,0.32
20,-3379.006,6798.013,6885.951,1.170922,0.35
20,-3932.276,7904.552,7992.49,1.737399,0.37
20,-4056.597,8153.193,8241.132,1.791052,0.34
20,-3567.767,7175.535,7263.474,1.111516,0.36
20,-3419.321,6878.643,6966.581,1.263358,0.34
20,-3693.555,7427.11,7515.048,1.440271,0.33
20,-3892.978,7825.956,7913.894,2.264304,0.34
20,-3872.765,7785.53,7873.469,1.909439,0.31
20,-3560.302,7160.604,7248.542,1.621029,0.32
20,-3867.186,7774.371,7862.31,1.843805,0.36
20,-3949.093,7938.186,8026.125,1.644817,0.29
20,-3255.139,6550.279,6638.217,1.009201,0.39
20,-3185.27,6410.54,6498.479,0.9302189,0.31
