"m","log.like","AIC","BIC","MSPE","CT"
22,-1763.499,3570.998,3652.481,0.5183576,1257.058
22,-1907.998,3859.996,3941.479,1.13432,1127.5055
22,-2123.498,4290.997,4372.48,1.030288,1208.944
22,-1845.049,3734.098,3815.581,1.309741,1222.32
22,-1907.629,3859.258,3940.741,0.9430785,1159.9775
22,-1834.049,3712.098,3793.581,0.986955,1224.0085
22,-2066.397,4176.794,4258.277,1.831012,1160.753
22,-2052.415,4148.83,4230.314,1.372861,1080.629
22,-2162.501,4369.002,4450.485,1.487883,533.5605
22,-1837.764,3719.528,3801.011,1.360978,1243.869
22,-2121.465,4286.93,4368.414,1.777498,855.712
22,-1741.945,3527.89,3609.373,0.6424778,1445.3175
22,-1952.77,3949.54,4031.023,1.171816,1297.9615
22,-1496.996,3037.992,3119.475,0.8022416,1087.3005
22,-2298.089,4640.179,4721.662,1.810835,1197.757
22,-1921.489,3886.977,3968.461,1.304147,1215.9235
22,-2042.51,4129.02,4210.503,1.727374,1225.5485
22,-2016.488,4076.975,4158.459,0.962048,1646.6835
22,-2226.559,4497.119,4578.602,2.496749,1201.904
22,-1428.973,2901.947,2983.43,0.9139875,1638.208
22,-2126.7,4297.399,4378.883,1.501535,1235.443
22,-1703.255,3450.509,3531.992,0.8504808,1278.398
22,-1913.586,3871.172,3952.655,1.516925,1657.7165
22,-2234.771,4513.541,4595.024,1.947608,1221.2585
22,-2049.974,4143.948,4225.431,1.596317,1207.767
22,-1909.331,3862.662,3944.145,1.743541,1223.1395
22,-2059.509,4163.017,4244.5,1.035948,1191.179
22,-1923.086,3890.172,3971.656,2.199075,1129.117
22,-2165.852,4375.705,4457.188,1.620616,1191.333
22,-2020.481,4084.962,4166.445,2.335573,1194.4295
22,-1903.116,3850.233,3931.716,1.530437,1634.622
22,-2084.495,4212.991,4294.474,1.215794,543.312
22,-2086.898,4217.796,4299.28,1.267068,1234.673
22,-2036.556,4117.112,4198.595,1.410683,1216.5615
22,-1980.599,4005.198,4086.682,1.67608,1214.2185
22,-2008.141,4060.281,4141.764,1.050207,863.929
22,-2144.433,4332.865,4414.348,2.331981,1369.1425
22,-2031.026,4106.053,4187.536,1.263566,1248.225
22,-1802.517,3649.035,3730.518,1.126022,1219.295
22,-1963.138,3970.277,4051.76,1.294797,720.335
22,-1974.274,3992.548,4074.031,0.9705881,1447.996
22,-2107.763,4259.526,4341.01,0.9716516,1096.612
22,-1987.576,4019.152,4100.636,2.21344,1326.875
22,-1914.918,3873.836,3955.32,1.422146,721.963
22,-2167.975,4379.95,4461.433,1.573135,1206.414
22,-2053.371,4150.742,4232.225,1.632688,1213.949
22,-1714.715,3473.429,3554.912,1.011555,1253.34
22,-2065.067,4174.134,4255.617,1.690447,1066.6645
22,-1657.381,3358.763,3440.246,0.8859613,1240.8
22,-1634.708,3313.416,3394.899,0.8117965,1273.9595
22,-1417.363,2878.727,2960.21,0.5104371,1237.7695
22,-2073.204,4190.408,4271.892,1.564691,1214.323
22,-1936.811,3917.623,3999.106,1.955643,1201.97
22,-1500.69,3045.38,3126.863,0.7632205,1224.6575
22,-2104.134,4252.267,4333.751,1.580844,1211.2375
22,-1801.661,3647.322,3728.805,1.221519,1270.2305
22,-2182.11,4408.22,4489.703,1.529098,1227.2645
22,-2088.61,4221.221,4302.704,2.215256,711.2105
22,-1917.352,3878.704,3960.187,1.180906,1287.2915
22,-2152.864,4349.728,4431.211,2.242314,1209.3455
22,-1586.469,3216.938,3298.421,0.6240177,1253.2025
22,-2281.903,4607.807,4689.29,1.416972,1230.5205
22,-2060.729,4165.458,4246.941,1.337311,1221.5555
22,-2151.541,4347.082,4428.565,1.525841,1230.79
22,-2185.855,4415.71,4497.193,1.609602,1209.747
22,-1808.91,3661.821,3743.304,1.260026,1264.494
22,-1663.072,3370.145,3451.628,1.057582,1315.8805
22,-2314.461,4672.923,4754.406,1.736236,1503.2765
22,-1582.404,3208.807,3290.291,0.8452603,1656.9905
22,-1826.936,3697.871,3779.354,1.229731,1241.4435
22,-2232.599,4509.198,4590.681,1.682062,1211.771
22,-2032.825,4109.65,4191.133,1.735219,1180.685
22,-1688.028,3420.056,3501.539,0.8086502,1382.1775
22,-2050.191,4144.381,4225.865,1.139641,1264.2355
22,-1953.33,3950.661,4032.144,0.8911916,1323.531
22,-2170.14,4384.28,4465.763,1.48234,663.113
22,-2138.811,4321.623,4403.106,1.452676,1295.338
22,-2082.781,4209.562,4291.045,1.331439,1279.5475
22,-2056.449,4156.899,4238.382,1.573027,1224.993
22,-1860.42,3764.84,3846.323,1.030195,1061.764
22,-2000.062,4044.123,4125.606,1.219602,1206.0895
22,-2206.988,4457.975,4539.459,1.406907,1123.4135
22,-1824.571,3693.142,3774.626,1.186764,1651.969
22,-2142.965,4329.931,4411.414,1.488383,749.5015
22,-2161.184,4366.367,4447.85,2.27213,1256.629
22,-2029.251,4102.502,4183.985,1.755361,794.7445
22,-2040.073,4124.147,4205.63,1.955997,1251.8495
22,-2100.778,4245.557,4327.04,2.097753,1212.8985
22,-1412.457,2868.913,2950.397,0.8926384,1449.3985
22,-1595.282,3234.563,3316.046,0.742718,470.723
22,-1871.123,3786.246,3867.729,1.193946,1179.7665
22,-1920.177,3884.353,3965.837,1.81495,528.869
22,-2183.517,4411.035,4492.518,1.627771,1196.3215
22,-2177.873,4399.746,4481.229,1.453204,1226.72
22,-2136.959,4317.918,4399.401,1.274443,1238.2645
22,-1890.955,3825.909,3907.392,1.850947,1226.082
22,-1946.028,3936.055,4017.539,1.074851,1222.881
22,-1984.674,4013.347,4094.83,1.179879,1317.217
22,-2146.059,4336.118,4417.602,1.639348,1201.7555
22,-2188.801,4421.602,4503.086,1.473769,1204.9235
