"m","log.like","AIC","BIC","MSPE","CT"
22,-3287.663,6619.326,6716.059,1.565412,3161.95
22,-3333.34,6710.679,6807.412,1.699659,3827.6
22,-2779.357,5602.714,5699.447,1.28002,4856.68
22,-2969.07,5982.14,6078.872,1.544425,3869.14
22,-2253.322,4550.644,4647.377,0.8089249,2557.21
22,-3046.86,6137.719,6234.452,1.431988,4840.33
22,-2934.504,5913.007,6009.74,1.418957,1417.1
22,-2966.223,5976.446,6073.179,1.625273,3893.18
22,-3396.712,6837.423,6934.156,1.656423,3708.49
22,-3458.061,6960.122,7056.855,2.060155,3861.16
22,-2833.956,5711.912,5808.644,1.119724,3332.95
22,-3138.894,6321.788,6418.52,1.677371,3706.14
22,-3426.98,6897.96,6994.693,1.811944,2882.99
22,-3451.497,6946.993,7043.726,2.019345,3798.48
22,-2973.977,5991.954,6088.687,1.703335,4774.55
22,-3098.615,6241.231,6337.963,1.171639,2515.3
22,-2800.789,5645.577,5742.31,1.139733,3979.36
22,-2632.031,5308.063,5404.795,0.9608769,1350.65
22,-3444.234,6932.468,7029.201,1.863067,3743.37
22,-2955.56,5955.119,6051.852,0.8553674,4706.17
22,-3168.157,6380.314,6477.046,1.294801,4714.68
22,-3230.241,6504.482,6601.215,1.627951,3732.89
22,-2907.436,5858.872,5955.605,1.34158,2097.26
22,-3556.068,7156.136,7252.869,2.29931,3677.62
22,-3309.85,6663.701,6760.433,1.715411,3616.78
22,-2905.64,5855.279,5952.012,1.336954,4691.89
22,-3419.262,6882.525,6979.257,2.275748,3780
22,-2983.909,6011.819,6108.551,1.152091,2291.21
22,-2615.505,5275.01,5371.742,1.365452,2786.03
22,-2964.988,5973.975,6070.708,1.213117,3362.16
22,-3432.168,6908.336,7005.069,1.559738,3684.91
22,-3141.097,6326.193,6422.926,1.474957,2838
22,-3365.127,6774.255,6870.987,1.820783,4702.4
22,-2855.981,5755.963,5852.695,1.335539,4720.7
22,-2673.822,5391.644,5488.376,1.377059,4703.25
22,-2602.788,5249.576,5346.308,1.007558,4701.05
22,-3440.41,6924.82,7021.553,1.752796,2317.94
22,-2297.659,4639.319,4736.051,0.8535608,2143.34
22,-3047.923,6139.845,6236.578,1.230683,4703.08
22,-3534.611,7113.221,7209.954,1.947897,1464.84
22,-3168.639,6381.278,6478.011,1.524261,3884.25
22,-2965.546,5975.091,6071.824,1.378877,4199.05
22,-2903.255,5850.51,5947.243,1.125796,3798.25
22,-3317.387,6678.775,6775.507,1.717927,3723
22,-3185.342,6414.683,6511.416,1.557758,2334.7
22,-3247.554,6539.109,6635.841,1.372051,4410.04
22,-3342.014,6728.028,6824.76,2.021707,2227.48
22,-3460.131,6964.263,7060.995,1.660173,3759
22,-3547.499,7138.997,7235.73,2.021107,3761.12
22,-2827.194,5698.387,5795.12,1.449409,1620.53
22,-3197.431,6438.863,6535.595,1.504872,3025.69
22,-2804.609,5653.218,5749.951,1.133861,4741.36
22,-2909.893,5863.786,5960.518,1.596976,2906.17
22,-3385.84,6815.679,6912.412,1.826376,4679.86
22,-3045.751,6135.502,6232.235,1.295708,1955.19
22,-2707.44,5458.88,5555.612,1.176731,3762.82
22,-2929.445,5902.89,5999.623,1.00406,4737.55
22,-3653.144,7350.288,7447.021,2.542513,3696.09
22,-3021.54,6087.081,6183.813,1.277192,4710.25
22,-3044.937,6133.873,6230.605,1.152892,3979.1
22,-3468.444,6980.888,7077.62,2.049687,3870.31
22,-2854.225,5752.451,5849.183,1.100647,4727.53
22,-3309.251,6662.502,6759.235,1.436745,2855.73
22,-3009.1,6062.2,6158.932,1.471361,4757.35
22,-3066.513,6177.026,6273.758,1.566081,3739.19
22,-3338.325,6720.65,6817.383,1.784997,4736.84
22,-2923.342,5890.684,5987.417,1.390236,3924.39
22,-3328.838,6701.677,6798.409,1.70834,4717.92
22,-3089.712,6223.425,6320.157,1.115686,4715.93
22,-3088.158,6220.316,6317.049,1.384167,2682.68
22,-3261.796,6567.593,6664.325,1.622847,3756.66
22,-3156.466,6356.933,6453.665,1.73368,4252.33
22,-2514.192,5072.384,5169.116,1.226874,4753.27
22,-3216.975,6477.95,6574.683,1.572772,3577.22
22,-3482.079,7008.158,7104.891,1.943925,2106.86
22,-2819.518,5683.037,5779.769,1.482712,3752.98
22,-3131.015,6306.029,6402.762,1.77318,4114.97
22,-3086.287,6216.574,6313.307,1.403342,2900.69
22,-3016.382,6076.764,6173.497,1.520537,4789.23
22,-3037.183,6118.366,6215.099,1.139676,2359.65
22,-3016.953,6077.906,6174.638,1.771151,3917.35
22,-3114.277,6272.554,6369.287,1.327314,3802.67
22,-3487.256,7018.512,7115.244,1.916428,4249.33
22,-2849.643,5743.285,5840.018,1.654253,2281.16
22,-2316.76,4677.52,4774.253,0.6393238,3824.07
22,-3079.799,6203.599,6300.331,1.508575,3762.55
22,-2338.222,4720.445,4817.177,0.7036701,2242.34
22,-2863.392,5770.783,5867.516,1.414368,4733.34
22,-3310.65,6665.299,6762.032,1.282517,2497.44
22,-3092.345,6228.691,6325.423,1.411442,3762.22
22,-2714.617,5473.234,5569.966,1.197127,4762.67
22,-2722.029,5488.058,5584.791,0.7356647,4259.32
22,-3427.041,6898.082,6994.815,1.68709,3902.08
22,-3328.481,6700.962,6797.694,1.740714,6011.19
22,-3057.878,6159.755,6256.488,1.334584,4299.06
22,-3026.246,6096.491,6193.224,2.160652,6813.28
22,-2589.244,5222.488,5319.221,0.76369,6644.24
22,-3088.957,6221.913,6318.646,1.311399,4869.06
22,-3157.984,6359.967,6456.7,1.502469,4329.22
22,-3208.197,6460.394,6557.126,1.697213,3645.7
