"m","log.like","AIC","BIC","MSPE","CT"
22,-4562.074,9168.148,9264.88,2.0805,7.6452
22,-4498.069,9040.137,9136.87,2.555544,8.1972
22,-3657.524,7359.049,7455.781,1.132615,11.2539
22,-4301.247,8646.494,8743.227,1.834015,10.4052
22,-4163.866,8371.732,8468.464,1.306829,9.66
22,-4209.889,8463.779,8560.511,1.342871,10.9641
22,-4659.444,9362.888,9459.62,2.325799,11.1021
22,-4344.339,8732.679,8829.411,1.394233,13.1307
22,-4130.173,8304.345,8401.078,1.590523,10.5777
22,-4301.031,8646.062,8742.794,1.905884,14.3796
22,-4302.087,8648.173,8744.906,2.015958,10.6743
22,-3641.361,7326.722,7423.454,1.525047,15.9873
22,-3834.827,7713.654,7810.387,1.680977,16.2909
22,-3938.356,7920.712,8017.444,1.069454,13.0824
22,-4301.488,8646.977,8743.709,1.505421,13.4136
22,-4175.481,8394.963,8491.695,1.122736,10.8606
22,-4573.809,9191.618,9288.35,2.03163,10.9503
22,-3960.952,7965.904,8062.637,1.104205,14.1105
22,-4130.462,8304.925,8401.657,1.593258,11.1642
22,-4109.381,8262.763,8359.495,1.104963,11.5368
22,-4059.86,8163.721,8260.453,1.305919,13.0893
22,-3842.913,7729.826,7826.558,1.557567,11.9784
22,-3740.02,7524.041,7620.773,1.432935,12.8961
22,-3347.833,6739.667,6836.399,0.7520977,13.2894
22,-3335.241,6714.482,6811.214,0.9667243,12.7236
22,-4443.381,8930.763,9027.495,1.965837,9.5841
22,-4272.591,8589.183,8685.915,2.255978,16.6911
22,-4306.379,8656.758,8753.49,1.748293,15.4146
22,-3120.916,6285.833,6382.565,0.9590883,18.6438
22,-3846.149,7736.297,7833.03,1.075709,15.7596
22,-3777.65,7599.301,7696.033,0.8251976,16.629
22,-3612.625,7269.251,7365.983,1.04385,17.6502
22,-4375.866,8795.731,8892.464,1.919962,10.9641
22,-3767.154,7578.309,7675.041,1.112657,13.2135
22,-4201.553,8447.106,8543.839,1.36697,9.66
22,-3677.15,7398.301,7495.033,1.008737,13.4136
22,-3767.501,7579.002,7675.734,1.402074,9.9291
22,-4093.601,8231.201,8327.934,1.558045,11.2539
22,-4054.623,8153.245,8249.978,2.893731,15.1248
22,-4684.074,9412.148,9508.88,1.889307,9.9291
22,-3745.871,7535.742,7632.475,1.142119,13.3032
22,-4289.557,8623.114,8719.847,2.740578,9.2943
22,-3901.642,7847.283,7944.016,1.350649,10.4466
22,-4484.058,9012.116,9108.849,1.745685,11.7852
22,-3952.368,7948.737,8045.469,1.02389,19.4856
22,-3969.923,7983.845,8080.577,1.442253,24.6606
22,-4004.731,8053.462,8150.194,1.699064,12.2061
22,-3894.92,7833.84,7930.572,1.807945,12.7857
22,-3804.348,7652.695,7749.428,1.150439,15.9873
22,-4079.223,8202.446,8299.179,1.314918,14.145
22,-3942.758,7929.517,8026.249,1.673975,11.4195
22,-4260.871,8565.742,8662.475,1.672989,13.938
22,-3338.978,6721.955,6818.688,0.638368,16.0149
22,-4299.992,8643.984,8740.717,2.096647,10.0395
22,-3616.491,7276.982,7373.715,0.9289648,13.3032
22,-4043.396,8130.793,8227.525,1.362534,9.6807
22,-4027.851,8099.702,8196.434,1.649868,10.281
22,-4342.903,8729.807,8826.539,1.624312,9.9291
22,-3806.999,7657.998,7754.731,1.605898,13.6275
22,-4092.572,8229.143,8325.876,1.747286,15.042
22,-3734.369,7512.737,7609.47,1.100335,13.7931
22,-4182.601,8409.202,8505.934,1.510307,12.2061
22,-3813.051,7670.102,7766.835,0.8862004,13.5309
22,-2212.078,4468.157,4564.889,1.408397,14.2554
22,-4249.614,8543.229,8639.961,1.370985,12.6339
22,-3851.462,7746.924,7843.656,2.446401,18.7197
22,-4306.119,8656.238,8752.97,2.048489,11.0814
22,-3490.713,7025.426,7122.159,1.084731,15.6285
22,-3329.037,6702.075,6798.807,1.736749,9.6669
22,-3708.735,7461.469,7558.201,1.143308,14.0484
22,-3657.047,7358.095,7454.827,1.221182,15.8631
22,-3889.64,7823.281,7920.013,1.083396,12.3648
22,-3814.516,7673.032,7769.765,1.174286,13.5516
22,-3592.596,7229.193,7325.925,0.9357164,14.7384
22,-3986.794,8017.587,8114.32,1.483544,16.008
22,-4520.948,9085.896,9182.628,1.627276,10.35
22,-4305.321,8654.642,8751.375,1.462533,10.9848
22,-4264.012,8572.023,8668.756,1.876314,12.6684
22,-4532.849,9109.699,9206.431,1.742518,11.7576
22,-4010.775,8065.55,8162.283,1.405758,13.0686
22,-4283.23,8610.46,8707.192,1.315713,10.2948
22,-3638.746,7321.492,7418.224,0.9028705,15.5181
22,-4096.397,8236.795,8333.527,1.665027,11.7024
22,-4075.17,8194.341,8291.073,1.153976,13.1859
22,-3698.012,7440.024,7536.757,1.209917,15.7389
22,-3740.033,7524.066,7620.798,0.9682083,13.1997
22,-4104.133,8252.266,8348.999,1.434907,11.9094
22,-3965.631,7975.261,8071.994,2.064179,18.9474
22,-4055.752,8155.503,8252.236,1.86905,14.904
22,-3971.607,7987.214,8083.946,1.206687,17.7468
22,-3940.786,7925.571,8022.304,1.004699,13.3239
